episode,step,reward,length,running_avg
1,600,-12.38,100,-12.38
2,600,-15.94,100,-14.16
3,600,-14.07,100,-14.13
4,600,-17.06,100,-14.86
5,600,-15.28,100,-14.95
6,600,-12.38,100,-14.52
7,1200,-21.18,100,-15.47
8,1200,-24.77,100,-16.63
9,1200,-13.1,100,-16.24
10,1200,-10.8,100,-15.7
11,1200,-18.51,100,-15.95
12,1206,-4.17,101,-14.97
13,1800,-13.33,100,-14.84
14,1800,-13.57,100,-14.75
15,1800,-22.57,100,-15.27
16,1800,-19.6,100,-15.54
17,1800,-18.57,100,-15.72
18,1806,-11.27,100,-15.47
19,2400,-14.85,100,-15.44
20,2400,-10.66,100,-15.2
21,2406,-7.37,101,-14.83
22,2406,-3.56,101,-14.32
23,2412,-9.37,101,-14.1
24,2412,-3.9,102,-13.68
25,3000,-18.57,100,-13.87
26,3006,-17.5,100,-14.01
27,3012,-10.38,101,-13.88
28,3018,-4.17,101,-13.53
29,3036,-2.74,104,-13.16
30,3042,-1.95,107,-12.79
31,3600,-18.84,100,-12.98
32,3606,-13.55,100,-13.0
33,3618,-10.07,100,-12.91
34,3624,-1.46,102,-12.57
35,3636,-13.11,100,-12.59
36,3642,-13.33,100,-12.61
37,4200,-15.02,100,-12.67
38,4206,-16.88,100,-12.78
39,4218,-19.1,100,-12.95
40,4224,-12.38,100,-12.93
41,4236,-17.3,100,-13.04
42,4242,-19.3,100,-13.19
43,4800,-17.69,100,-13.29
44,4812,-8.34,101,-13.18
45,4824,-14.26,100,-13.2
46,4824,-9.63,101,-13.13
47,4836,-10.69,100,-13.07
48,4848,-5.89,101,-12.93
49,5412,-18.71,100,-13.04
50,5424,-12.84,100,-13.04
51,5424,-16.88,100,-13.11
52,5442,-8.86,101,-13.03
53,5448,-11.9,100,-13.01
54,5550,12.97,125,-12.53
55,6012,-19.93,100,-12.66
56,6024,-22.42,100,-12.84
57,6024,-13.33,100,-12.85
58,6042,-17.29,100,-12.92
59,6048,-13.33,100,-12.93
60,6150,-18.65,100,-13.03
61,6612,-11.03,100,-12.99
62,6624,-14.21,100,-13.01
63,6624,-15.19,100,-13.05
64,6642,-12.14,100,-13.03
65,6648,-14.38,100,-13.05
66,6756,-9.37,101,-13.0
67,7212,-20.06,100,-13.1
68,7230,-5.26,101,-12.99
69,7230,-5.61,101,-12.88
70,7248,-5.2,101,-12.77
71,7254,-8.39,101,-12.71
72,7362,-4.99,101,-12.6
73,7812,-14.48,100,-12.63
74,7830,-11.65,100,-12.62
75,7830,-19.3,100,-12.7
76,7854,-8.88,101,-12.65
77,7860,-9.85,101,-12.62
78,7968,-6.17,101,-12.54
79,8412,-12.2,100,-12.53
80,8430,-13.58,100,-12.54
81,8436,-9.37,101,-12.51
82,8460,-11.15,100,-12.49
83,8460,-9.37,101,-12.45
84,8568,-10.8,100,-12.43
85,9030,-14.21,100,-12.45
86,9042,-9.88,101,-12.42
87,9066,-6.07,101,-12.35
88,9066,-4.85,109,-12.26
89,9108,-3.38,108,-12.16
90,9168,-14.43,100,-12.19
91,9630,-20.06,100,-12.28
92,9642,-12.58,100,-12.28
93,9672,-9.14,101,-12.25
94,9672,-10.25,101,-12.22
95,9708,-17.11,100,-12.28
96,9780,-0.52,102,-12.15
97,10230,-23.02,100,-12.27
98,10248,-8.34,101,-12.23
99,10272,-14.21,100,-12.25
100,10278,-7.27,101,-12.2
101,10314,-3.59,101,-12.11
102,10380,-12.04,100,-12.07
103,10854,-4.16,101,-11.97
104,10878,-8.39,101,-11.88
105,10878,-10.69,100,-11.84
106,10920,-8.14,101,-11.79
107,10980,-2.99,125,-11.61
108,10986,-7.12,101,-11.44
109,11454,-13.54,100,-11.44
110,11478,-33.02,100,-11.66
111,11520,-11.27,100,-11.59
112,11556,-3.44,113,-11.58
113,11580,-11.03,100,-11.56
114,11592,-8.88,101,-11.51
115,12078,-15.28,100,-11.44
116,12078,-5.23,104,-11.3
117,12120,-12.04,100,-11.23
118,12156,-10.8,100,-11.23
119,12192,-22.53,100,-11.3
120,12258,-4.9,113,-11.25
121,12684,-9.37,101,-11.27
122,12696,-2.98,103,-11.26
123,12726,-4.99,101,-11.22
124,12762,-6.22,101,-11.24
125,12798,-9.85,101,-11.15
126,12858,-10.6,100,-11.08
127,13290,-7.63,101,-11.06
128,13296,-15.81,100,-11.17
129,13350,-3.65,104,-11.18
130,13368,-9.37,101,-11.26
131,13458,-16.17,100,-11.23
132,13548,5.07,125,-11.04
133,13944,-5.32,108,-10.99
134,13968,-1.33,113,-10.99
135,13998,-6.51,105,-10.93
136,14064,-10.33,101,-10.9
137,14100,8.95,125,-10.66
138,14154,-4.14,101,-10.53
139,14550,-7.22,101,-10.41
140,14568,-27.37,100,-10.56
141,14616,-2.98,103,-10.42
142,14766,-6.71,111,-10.29
143,14790,0.14,106,-10.11
144,14814,-1.75,125,-10.05
145,15156,-9.15,101,-10.0
146,15222,-3.59,101,-9.94
147,15282,-5.71,119,-9.89
148,15384,-5.21,103,-9.88
149,15396,-8.6,101,-9.78
150,15414,-13.33,100,-9.78
151,15756,-15.06,100,-9.77
152,15822,-11.27,100,-9.79
153,15888,-7.0,101,-9.74
154,15990,-6.22,101,-9.93
155,15996,-17.89,100,-9.91
156,16020,-6.07,101,-9.75
