update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,explained_variance,lr
1,1998,0.00518,0.90865,-0.23611,0.015054,0.4327,-0.0192,0.000999
2,3996,-0.00831,0.81914,-0.26405,0.005652,0.2761,0.2722,0.000998
3,5994,-0.01119,0.83806,-0.26328,0.005696,0.2848,0.4406,0.000997
4,7992,-0.01334,0.67539,-0.26775,0.004827,0.2447,0.6036,0.000996
5,9990,-0.02197,0.56832,-0.28195,0.006587,0.3279,0.5921,0.000995
6,11988,-0.02287,0.62816,-0.28454,0.009501,0.3938,0.1488,0.000994
7,13986,-0.02457,0.52785,-0.28136,0.008822,0.3615,0.2983,0.000993
8,15984,-0.02817,0.5576,-0.27971,0.008572,0.3517,0.2367,0.000992
9,17982,-0.02401,0.63172,-0.29933,0.012819,0.4538,0.0397,0.000991
10,19980,-0.031,0.71042,-0.30207,0.0132,0.4587,0.3313,0.00099
11,21978,-0.03069,0.57448,-0.29721,0.015653,0.484,0.5228,0.000989
12,23976,-0.02583,0.64431,-0.30039,0.019975,0.5052,0.5075,0.000988
13,25974,-0.02265,0.58371,-0.31955,0.018942,0.506,0.3223,0.000987
14,27972,-0.02129,0.69453,-0.32124,0.018832,0.5254,0.4962,0.000986
15,29970,-0.01651,0.84657,-0.33428,0.021474,0.5453,0.4827,0.000985
16,31968,-0.0258,0.73199,-0.36984,0.019205,0.5348,0.5884,0.000984
17,33966,-0.01859,0.786,-0.38548,0.024543,0.5617,0.5888,0.000983
18,35964,-0.0217,0.73158,-0.40779,0.023534,0.5581,0.7132,0.000982
19,37962,-0.02317,0.79193,-0.34529,0.022927,0.56,0.6928,0.000981
20,39960,-0.02004,0.83072,-0.35657,0.029049,0.5674,0.6324,0.00098
21,41958,-0.02005,0.74958,-0.36274,0.02406,0.5407,0.7712,0.000979
22,43956,-0.02294,0.90662,-0.34365,0.027358,0.5793,0.6346,0.000978
23,45954,-0.01938,0.9768,-0.34602,0.03583,0.5922,0.5893,0.000977
24,47952,-0.01175,0.9951,-0.37479,0.033176,0.6033,0.6572,0.000976
25,49950,-0.01524,1.05011,-0.36283,0.028974,0.5769,0.7303,0.000975
26,51948,-0.01032,1.0317,-0.33377,0.030591,0.5798,0.7373,0.000974
27,53946,-0.01386,1.0111,-0.35762,0.025617,0.5508,0.6465,0.000973
28,55944,-0.01585,0.99616,-0.36954,0.027396,0.5502,0.6789,0.000972
29,57942,-0.01944,0.96101,-0.39002,0.025624,0.5474,0.7275,0.000971
30,59940,-0.0145,1.14903,-0.33446,0.028836,0.5455,0.7377,0.00097
31,61938,-0.01486,0.99659,-0.31944,0.026851,0.5315,0.6957,0.000969
32,63936,-0.01245,1.1442,-0.32091,0.027141,0.5648,0.6302,0.000968
33,65934,-0.00542,1.26028,-0.33378,0.031245,0.5768,0.5612,0.000967
34,67932,-0.01289,1.16037,-0.32088,0.022518,0.5021,0.7587,0.000966
35,69930,-0.01354,1.28603,-0.32821,0.033224,0.5422,0.6754,0.000965
36,71928,-0.01371,0.95456,-0.35173,0.032812,0.5504,0.7252,0.000964
37,73926,-0.01836,1.03387,-0.31343,0.034895,0.5713,0.7041,0.000963
38,75924,-0.01577,0.94178,-0.30881,0.029558,0.5569,0.7829,0.000962
39,77922,-0.01484,1.20861,-0.26782,0.031781,0.5386,0.6721,0.000961
40,79920,-0.0111,0.98566,-0.28973,0.035569,0.555,0.7372,0.00096
41,81918,-0.01912,1.01103,-0.28672,0.027973,0.5646,0.7404,0.000959
42,83916,-0.01755,1.00102,-0.30026,0.028561,0.5288,0.7169,0.000958
43,85914,-0.01479,1.30746,-0.31155,0.028369,0.5664,0.5814,0.000957
44,87912,-0.01487,1.24275,-0.31603,0.032381,0.5629,0.5745,0.000956
45,89910,-0.01237,1.20127,-0.3172,0.038977,0.6005,0.5172,0.000955
46,91908,-0.01651,1.32317,-0.36282,0.03369,0.5792,0.6884,0.000954
47,93906,-0.00833,1.59128,-0.36338,0.039896,0.5975,0.6899,0.000953
48,95904,-0.01078,1.63416,-0.33711,0.044382,0.5826,0.632,0.000952
49,97902,-0.00779,1.60107,-0.3819,0.039637,0.5843,0.6785,0.000951
50,99900,-0.00559,1.47937,-0.4684,0.044729,0.6019,0.6628,0.00095
51,101898,-0.00935,1.50031,-0.4278,0.043785,0.6309,0.6554,0.0009491
52,103896,-0.00533,1.53066,-0.44331,0.037049,0.5966,0.7197,0.0009481
53,105894,-0.00597,1.67845,-0.46561,0.048112,0.6014,0.716,0.0009471
54,107892,-0.00995,1.63189,-0.48342,0.03891,0.583,0.708,0.0009461
55,109890,-0.01041,1.78863,-0.45029,0.046506,0.5572,0.7436,0.0009451
56,111888,-0.00678,2.07778,-0.5494,0.041113,0.5764,0.6881,0.0009441
