device: mps
actors: 6 | 333 steps each | 1998 samples per update
ep    10 | step     1200 | reward   -10.80 | avg100   -15.70 |  111.4 steps/s | 0.2 min
ep    20 | step     2400 | reward   -10.66 | avg100   -15.20 |  102.5 steps/s | 0.4 min
ep    30 | step     3042 | reward    -1.95 | avg100   -12.79 |  104.4 steps/s | 0.5 min
ep    40 | step     4224 | reward   -12.38 | avg100   -12.93 |  101.3 steps/s | 0.7 min
ep    50 | step     5424 | reward   -12.84 | avg100   -13.04 |  103.7 steps/s | 0.9 min
ep    60 | step     6150 | reward   -18.65 | avg100   -13.03 |  101.4 steps/s | 1.0 min
ep    70 | step     7248 | reward    -5.20 | avg100   -12.77 |  103.1 steps/s | 1.2 min
ep    80 | step     8430 | reward   -13.58 | avg100   -12.54 |  101.9 steps/s | 1.4 min
ep    90 | step     9168 | reward   -14.43 | avg100   -12.19 |  102.5 steps/s | 1.5 min
ep   100 | step    10278 | reward    -7.27 | avg100   -12.20 |  101.3 steps/s | 1.7 min
ep   110 | step    11478 | reward   -33.02 | avg100   -11.66 |  102.3 steps/s | 1.9 min
ep   120 | step    12258 | reward    -4.90 | avg100   -11.25 |  101.1 steps/s | 2.0 min
ep   130 | step    13368 | reward    -9.37 | avg100   -11.26 |  102.1 steps/s | 2.2 min
ep   140 | step    14568 | reward   -27.37 | avg100   -10.56 |  101.4 steps/s | 2.4 min
ep   150 | step    15414 | reward   -13.33 | avg100    -9.78 |  102.0 steps/s | 2.5 min
ep   160 | step    16602 | reward    -8.43 | avg100    -9.34 |  101.4 steps/s | 2.7 min
ep   170 | step    17778 | reward    -4.26 | avg100    -9.18 |  102.1 steps/s | 2.9 min
ep   180 | step    18564 | reward    -3.69 | avg100    -8.71 |  101.4 steps/s | 3.1 min
ep   190 | step    19716 | reward    -4.53 | avg100    -8.56 |  102.0 steps/s | 3.2 min
ep   200 | step    20820 | reward    -2.26 | avg100    -8.38 |  101.5 steps/s | 3.4 min
ep   210 | step    21648 | reward   -15.59 | avg100    -8.17 |  101.9 steps/s | 3.5 min
ep   220 | step    22800 | reward    -0.51 | avg100    -7.76 |  101.5 steps/s | 3.7 min
ep   230 | step    23952 | reward   -15.06 | avg100    -7.87 |  102.1 steps/s | 3.9 min
ep   240 | step    24882 | reward     5.69 | avg100    -7.95 |  101.6 steps/s | 4.1 min
ep   250 | step    25860 | reward    -4.79 | avg100    -8.16 |  102.1 steps/s | 4.2 min
ep   260 | step    27012 | reward    -4.62 | avg100    -8.05 |  101.7 steps/s | 4.4 min
ep   270 | step    27942 | reward   -34.25 | avg100    -8.12 |  102.1 steps/s | 4.6 min
ep   280 | step    29076 | reward    -4.16 | avg100    -8.45 |  101.9 steps/s | 4.8 min
ep   290 | step    30108 | reward   -12.48 | avg100    -8.36 |  101.5 steps/s | 4.9 min
ep   300 | step    31158 | reward    16.54 | avg100    -7.74 |  101.9 steps/s | 5.1 min
ep   310 | step    32190 | reward    -2.01 | avg100    -7.85 |  101.6 steps/s | 5.3 min
ep   320 | step    33480 | reward     9.59 | avg100    -7.64 |  102.0 steps/s | 5.5 min
ep   330 | step    34428 | reward    -5.93 | avg100    -7.21 |  101.6 steps/s | 5.6 min
ep   340 | step    35466 | reward   -22.86 | avg100    -6.79 |  102.0 steps/s | 5.8 min
ep   350 | step    36600 | reward    -3.55 | avg100    -6.49 |  101.8 steps/s | 6.0 min
ep   360 | step    37548 | reward     5.33 | avg100    -6.49 |  102.0 steps/s | 6.1 min
ep   370 | step    38670 | reward    -9.81 | avg100    -5.58 |  101.8 steps/s | 6.3 min
ep   380 | step    39876 | reward    -8.19 | avg100    -4.67 |  102.1 steps/s | 6.5 min
ep   390 | step    40716 | reward    -4.24 | avg100    -4.60 |  101.8 steps/s | 6.7 min
ep   400 | step    41874 | reward    -6.19 | avg100    -4.91 |  102.2 steps/s | 6.8 min
ep   410 | step    43122 | reward    -6.17 | avg100    -4.77 |  102.0 steps/s | 7.0 min
ep   420 | step    43896 | reward    -4.70 | avg100    -4.95 |  102.2 steps/s | 7.2 min
ep   430 | step    45090 | reward    -2.40 | avg100    -5.21 |  102.1 steps/s | 7.4 min
ep   440 | step    46296 | reward   -17.50 | avg100    -4.90 |  101.9 steps/s | 7.6 min
ep   450 | step    47166 | reward    -6.68 | avg100    -5.46 |  102.1 steps/s | 7.7 min
ep   460 | step    48282 | reward   -10.51 | avg100    -4.93 |  101.9 steps/s | 7.9 min
ep   470 | step    49590 | reward    -6.03 | avg100    -5.01 |  102.2 steps/s | 8.1 min
ep   480 | step    50328 | reward    -5.14 | avg100    -4.58 |  102.0 steps/s | 8.2 min
ep   490 | step    51570 | reward    -3.13 | avg100    -3.42 |  102.2 steps/s | 8.4 min
ep   500 | step    52758 | reward    -5.80 | avg100    -2.79 |  102.0 steps/s | 8.6 min
ep   510 | step    53706 | reward    -2.96 | avg100    -2.87 |  102.2 steps/s | 8.8 min
ep   520 | step    54846 | reward    -1.53 | avg100    -3.39 |  102.1 steps/s | 9.0 min
ep   530 | step    56076 | reward   -44.05 | avg100    -2.65 |  101.9 steps/s | 9.2 min
ep   540 | step    57018 | reward    -0.71 | avg100    -3.52 |  102.1 steps/s | 9.3 min
ep   550 | step    58212 | reward    -1.29 | avg100    -2.62 |  101.9 steps/s | 9.5 min
ep   560 | step    59394 | reward    -1.01 | avg100    -2.44 |  102.2 steps/s | 9.7 min
ep   570 | step    60294 | reward    54.64 | avg100    -2.84 |  102.0 steps/s | 9.9 min
ep   580 | step    61356 | reward    -6.86 | avg100    -3.88 |  102.2 steps/s | 10.0 min
ep   590 | step    62562 | reward   -12.14 | avg100    -5.54 |  102.0 steps/s | 10.2 min
ep   600 | step    63534 | reward    -1.22 | avg100    -6.44 |  102.2 steps/s | 10.4 min
ep   610 | step    64644 | reward     3.71 | avg100    -4.69 |  102.1 steps/s | 10.6 min
ep   620 | step    65832 | reward     5.57 | avg100    -3.44 |  102.3 steps/s | 10.7 min
ep   630 | step    66870 | reward   -42.62 | avg100    -3.86 |  102.1 steps/s | 10.9 min
ep   640 | step    67932 | reward   -41.54 | avg100    -3.04 |  102.3 steps/s | 11.1 min
ep   650 | step    69240 | reward    -4.61 | avg100    -1.80 |  102.1 steps/s | 11.3 min
ep   660 | step    70152 | reward    -5.14 | avg100    -2.17 |  102.0 steps/s | 11.5 min
ep   670 | step    71382 | reward    18.42 | avg100    -0.52 |  102.1 steps/s | 11.6 min
ep   680 | step    72576 | reward    -3.88 | avg100     0.15 |  102.0 steps/s | 11.9 min
ep   690 | step    73518 | reward   -14.72 | avg100     1.76 |  102.1 steps/s | 12.0 min
ep   700 | step    74658 | reward    -1.46 | avg100     3.18 |  102.0 steps/s | 12.2 min
ep   710 | step    75756 | reward    41.38 | avg100     2.21 |  102.1 steps/s | 12.4 min
ep   720 | step    76764 | reward    -3.35 | avg100     1.09 |  102.0 steps/s | 12.5 min
ep   730 | step    77898 | reward   -10.07 | avg100     0.55 |  102.1 steps/s | 12.7 min
ep   740 | step    78984 | reward    -8.88 | avg100     0.18 |  102.0 steps/s | 12.9 min
ep   750 | step    80148 | reward    -3.90 | avg100    -1.33 |  101.9 steps/s | 13.1 min
ep   760 | step    81216 | reward    -1.52 | avg100    -0.13 |  102.0 steps/s | 13.3 min
ep   770 | step    82440 | reward   -23.12 | avg100    -1.21 |  101.9 steps/s | 13.5 min
ep   780 | step    83436 | reward    -9.13 | avg100    -0.55 |  102.1 steps/s | 13.6 min
ep   790 | step    84462 | reward    -6.22 | avg100    -1.26 |  101.9 steps/s | 13.8 min
ep   800 | step    85698 | reward   -19.10 | avg100    -0.81 |  102.1 steps/s | 14.0 min
ep   810 | step    86898 | reward   -31.49 | avg100    -0.35 |  102.0 steps/s | 14.2 min
ep   820 | step    87852 | reward   -10.46 | avg100     1.69 |  102.1 steps/s | 14.3 min
ep   830 | step    89040 | reward    -2.52 | avg100     2.93 |  102.0 steps/s | 14.5 min
ep   840 | step    90228 | reward   -14.85 | avg100     3.53 |  101.9 steps/s | 14.8 min
