episode,step,reward,length,running_avg,epsilon
1,100,-11.79,100,-11.79,0.9991
2,201,-8.37,101,-10.08,0.9982
3,344,-10.76,143,-10.31,0.9969
4,444,-13.33,100,-11.06,0.996
5,545,-4.57,101,-9.76,0.9951
6,664,1.18,119,-7.94,0.994
7,839,24.74,175,-3.27,0.9925
8,939,-14.54,100,-4.68,0.9916
9,1059,11.93,120,-2.84,0.9905
10,1221,6.88,162,-1.86,0.989
11,1322,-7.07,101,-2.34,0.9881
12,1422,-15.0,100,-3.39,0.9872
13,1602,0.41,180,-3.1,0.9856
14,1709,-5.64,107,-3.28,0.9846
15,1831,-6.18,122,-3.47,0.9835
16,1981,15.47,150,-2.29,0.9822
17,2082,-5.81,101,-2.5,0.9813
18,2182,-10.59,100,-2.95,0.9804
19,2283,-9.26,101,-3.28,0.9795
20,2473,3.04,190,-2.96,0.9778
21,2585,-2.73,112,-2.95,0.9767
22,2685,-14.73,100,-3.49,0.9758
23,2883,0.35,198,-3.32,0.9741
24,3015,1.67,132,-3.11,0.9729
25,3191,0.5,176,-2.97,0.9713
26,3358,10.39,167,-2.45,0.9698
27,3516,11.38,158,-1.94,0.9684
28,3623,-2.06,107,-1.95,0.9674
29,3723,-11.15,100,-2.26,0.9665
30,3891,9.2,168,-1.88,0.965
31,3997,-3.39,106,-1.93,0.964
32,4097,-15.38,100,-2.35,0.9631
33,4209,-4.36,112,-2.41,0.9621
34,4310,-9.34,101,-2.62,0.9612
35,4411,-8.95,101,-2.8,0.9603
36,4512,-6.27,101,-2.89,0.9594
37,4612,-14.55,100,-3.21,0.9585
38,4712,-12.97,100,-3.46,0.9576
39,4813,-7.07,101,-3.56,0.9567
40,4913,-17.12,100,-3.9,0.9558
41,5106,3.88,193,-3.71,0.9541
42,5206,-11.12,100,-3.88,0.9532
43,5319,-1.17,113,-3.82,0.9521
44,5498,-1.33,179,-3.76,0.9505
45,5599,-3.98,101,-3.77,0.9496
46,5699,-12.55,100,-3.96,0.9487
47,5799,-11.53,100,-4.12,0.9478
48,5935,-2.32,136,-4.08,0.9466
49,6106,-7.89,171,-4.16,0.9451
50,6211,-2.13,105,-4.12,0.9441
51,6312,-8.45,101,-4.2,0.9432
52,6413,-6.55,101,-4.25,0.9423
53,6578,2.49,165,-4.12,0.9408
54,6679,-8.9,101,-4.21,0.9399
55,6811,4.45,132,-4.05,0.9387
56,6912,-5.11,101,-4.07,0.9378
57,7012,-12.88,100,-4.23,0.9369
58,7178,-15.89,166,-4.43,0.9354
59,7278,-17.78,100,-4.65,0.9345
60,7379,-10.3,101,-4.75,0.9336
61,7479,-10.67,100,-4.85,0.9327
62,7717,2.46,238,-4.73,0.9306
63,7818,-8.75,101,-4.79,0.9296
64,7919,-4.43,101,-4.79,0.9287
65,8121,-4.85,202,-4.79,0.9269
66,8274,-4.22,153,-4.78,0.9255
67,8441,-2.47,167,-4.74,0.924
68,8542,-5.48,101,-4.75,0.9231
69,8670,-3.79,128,-4.74,0.922
70,8795,2.24,125,-4.64,0.9209
71,8918,-3.92,123,-4.63,0.9197
72,9053,3.35,135,-4.52,0.9185
73,9219,-10.01,166,-4.6,0.917
74,9319,-10.26,100,-4.67,0.9161
75,9419,-19.53,100,-4.87,0.9152
76,9577,10.74,158,-4.66,0.9138
77,9703,0.69,126,-4.6,0.9127
78,9804,-7.19,101,-4.63,0.9118
79,9905,-4.56,101,-4.63,0.9109
80,10100,-9.03,195,-4.68,0.9091
81,10201,-9.15,101,-4.74,0.9082
82,10302,-10.1,101,-4.8,0.9073
83,10403,-7.67,101,-4.84,0.9064
84,10578,-5.22,175,-4.84,0.9048
85,10734,-1.47,156,-4.8,0.9034
86,10834,-11.73,100,-4.88,0.9025
87,10934,-12.51,100,-4.97,0.9016
88,11046,-7.26,112,-5.0,0.9006
89,11171,0.72,125,-4.93,0.8995
90,11337,7.4,166,-4.8,0.898
91,11437,-14.64,100,-4.9,0.8971
92,11538,-4.56,101,-4.9,0.8962
93,11680,1.62,142,-4.83,0.8949
94,11792,-4.05,112,-4.82,0.8939
95,11912,-4.83,120,-4.82,0.8928
96,12088,-3.33,176,-4.81,0.8912
97,12189,-6.27,101,-4.82,0.8903
98,12290,-9.89,101,-4.87,0.8894
99,12395,-4.12,105,-4.87,0.8885
100,12496,-8.55,101,-4.9,0.8875
101,12715,25.73,219,-4.53,0.8856
102,12907,-5.85,192,-4.5,0.8838
103,13074,12.51,167,-4.27,0.8823
104,13193,-4.74,119,-4.18,0.8813
105,13330,-8.65,137,-4.22,0.88
106,13440,-6.2,110,-4.3,0.879
107,13540,-14.73,100,-4.69,0.8781
108,13662,4.77,122,-4.5,0.8771
109,13865,41.48,203,-4.2,0.8752
110,13966,-4.45,101,-4.32,0.8743
111,14102,-2.55,136,-4.27,0.8731
112,14203,-6.27,101,-4.18,0.8722
113,14309,-4.3,106,-4.23,0.8712
114,14446,-6.41,137,-4.24,0.87
115,14610,-3.33,164,-4.21,0.8685
116,14711,-6.86,101,-4.43,0.8676
117,14811,-18.72,100,-4.56,0.8667
118,14944,-6.69,133,-4.52,0.8655
119,15064,-1.56,120,-4.45,0.8644
120,15230,-3.9,166,-4.52,0.8629
121,15402,-11.29,172,-4.6,0.8614
122,15503,-6.76,101,-4.52,0.8605
123,15604,-6.94,101,-4.6,0.8596
124,15717,6.08,113,-4.55,0.8586
125,15848,-3.34,131,-4.59,0.8574
126,15949,-4.1,101,-4.73,0.8565
127,16109,-1.72,160,-4.87,0.855
128,16209,-19.38,100,-5.04,0.8541
129,16360,7.63,151,-4.85,0.8528
130,16567,0.62,207,-4.94,0.8509
131,16668,-6.27,101,-4.97,0.85
132,16778,-4.49,110,-4.86,0.849
133,16999,-1.1,221,-4.82,0.847
134,17099,-10.49,100,-4.84,0.8461
135,17283,-3.6,184,-4.78,0.8445
136,17384,-8.26,101,-4.8,0.8436
137,17508,2.83,124,-4.63,0.8424
138,17609,-8.55,101,-4.58,0.8415
139,17813,-4.91,204,-4.56,0.8397
140,17936,9.84,123,-4.29,0.8386
141,18049,-0.92,113,-4.34,0.8376
142,18169,-7.85,120,-4.31,0.8365
143,18419,23.84,250,-4.06,0.8342
144,18548,11.34,129,-3.93,0.8331
145,18649,-6.15,101,-3.95,0.8322
146,18806,17.79,157,-3.65,0.8308
147,19012,6.06,206,-3.47,0.8289
148,19170,47.04,158,-2.98,0.8275
149,19271,-3.9,101,-2.94,0.8266
150,19372,-8.37,101,-3.0,0.8257
151,19491,-1.7,119,-2.94,0.8246
152,19592,-8.35,101,-2.95,0.8237
153,19693,-7.55,101,-3.05,0.8228
154,19849,18.02,156,-2.78,0.8214
155,19950,-6.69,101,-2.9,0.8205
156,20051,-5.11,101,-2.9,0.8196
157,20151,-14.84,100,-2.92,0.8186
158,20251,-11.85,100,-2.88,0.8177
159,20499,-14.17,248,-2.84,0.8155
160,20599,-10.1,100,-2.84,0.8146
161,20753,14.81,154,-2.58,0.8132
162,20860,0.37,107,-2.6,0.8123
163,20969,-5.75,109,-2.57,0.8113
164,21070,-7.55,101,-2.6,0.8104
165,21171,-8.75,101,-2.64,0.8095
166,21347,11.31,176,-2.49,0.8079
167,21487,0.82,140,-2.46,0.8066
168,21588,-9.15,101,-2.49,0.8057
169,21737,6.19,149,-2.39,0.8044
170,21838,-4.79,101,-2.46,0.8035
171,21958,-3.48,120,-2.46,0.8024
172,22104,-2.84,146,-2.52,0.8011
173,22205,-7.43,101,-2.49,0.8002
174,22390,-0.74,185,-2.4,0.7985
175,22496,-4.21,106,-2.25,0.7975
176,22597,-6.55,101,-2.42,0.7966
177,22712,-8.84,115,-2.51,0.7956
178,22812,-14.84,100,-2.59,0.7947
179,22987,11.71,175,-2.43,0.7931
180,23088,-8.71,101,-2.42,0.7922
181,23189,-4.56,101,-2.38,0.7913
182,23301,5.2,112,-2.23,0.7903
183,23426,-5.93,125,-2.21,0.7892
184,23526,-13.05,100,-2.29,0.7883
185,23626,-10.49,100,-2.38,0.7874
186,23777,3.66,151,-2.22,0.786
187,23878,-7.31,101,-2.17,0.7851
188,24066,-6.9,188,-2.17,0.7834
189,24166,-15.95,100,-2.33,0.7825
190,24347,-0.97,181,-2.42,0.7809
191,24497,-0.77,150,-2.28,0.7795
192,24598,-7.93,101,-2.31,0.7786
193,24699,-5.14,101,-2.38,0.7777
194,24799,-11.87,100,-2.46,0.7768
195,24938,0.44,139,-2.41,0.7756
196,25123,-6.09,185,-2.43,0.7739
197,25318,2.0,195,-2.35,0.7721
198,25430,-0.07,112,-2.25,0.7711
199,25530,-12.13,100,-2.33,0.7702
200,25675,-14.79,145,-2.4,0.7689
201,25853,-0.83,178,-2.66,0.7673
202,25975,25.14,122,-2.35,0.7662
203,26075,-14.55,100,-2.62,0.7653
204,26282,-6.16,207,-2.64,0.7635
205,26433,6.91,151,-2.48,0.7621
206,26551,5.43,118,-2.36,0.7611
207,26651,-12.39,100,-2.34,0.7601
208,26808,-5.86,157,-2.45,0.7587
209,26967,-4.78,159,-2.91,0.7573
210,27113,11.31,146,-2.75,0.756
211,27251,6.15,138,-2.66,0.7548
212,27427,-2.8,176,-2.63,0.7532
213,27583,-1.47,156,-2.6,0.7518
214,27727,4.85,144,-2.49,0.7505
215,27903,-5.05,176,-2.51,0.7489
216,28004,-8.01,101,-2.52,0.748
217,28144,5.09,140,-2.28,0.7467
218,28334,0.05,190,-2.21,0.745
219,28501,35.85,167,-1.84,0.7435
220,28613,1.91,112,-1.78,0.7425
221,28796,4.04,183,-1.63,0.7408
222,28970,12.74,174,-1.43,0.7393
223,29076,-4.52,106,-1.41,0.7383
224,29177,-7.55,101,-1.54,0.7374
225,29277,-12.32,100,-1.63,0.7365
226,29420,-3.15,143,-1.62,0.7352
227,29521,-6.86,101,-1.68,0.7343
228,29673,-7.99,152,-1.56,0.733
229,29829,1.11,156,-1.63,0.7315
230,29929,-13.42,100,-1.77,0.7306
231,30029,-15.0,100,-1.85,0.7297
232,30129,-11.53,100,-1.92,0.7288
233,30249,2.18,120,-1.89,0.7278
234,30467,-2.95,218,-1.82,0.7258
235,30620,1.04,153,-1.77,0.7244
236,30733,-3.39,113,-1.72,0.7234
237,30885,1.94,152,-1.73,0.722
238,31041,1.91,156,-1.63,0.7206
239,31153,-0.02,112,-1.58,0.7196
240,31264,-5.31,111,-1.73,0.7186
241,31365,-4.57,101,-1.77,0.7177
242,31550,-5.97,185,-1.75,0.7161
243,31658,-2.56,108,-2.01,0.7151
244,31786,2.37,128,-2.1,0.7139
245,31906,-8.0,120,-2.12,0.7129
246,32007,-5.26,101,-2.35,0.7119
247,32145,12.18,138,-2.29,0.7107
248,32345,-4.24,200,-2.8,0.7089
249,32462,9.94,117,-2.66,0.7079
250,32579,18.33,117,-2.39,0.7068
251,32680,-5.78,101,-2.44,0.7059
252,32875,-3.93,195,-2.39,0.7041
253,33015,26.68,140,-2.05,0.7029
254,33265,20.81,250,-2.02,0.7006
255,33377,0.11,112,-1.95,0.6996
256,33542,28.55,165,-1.62,0.6981
257,33689,4.58,147,-1.42,0.6968
258,33790,-5.19,101,-1.36,0.6959
259,33890,-19.04,100,-1.4,0.695
260,34120,6.98,230,-1.23,0.6929
261,34246,10.45,126,-1.28,0.6918
262,34365,15.41,119,-1.13,0.6907
263,34615,8.91,250,-0.98,0.6885
264,34825,16.44,210,-0.74,0.6866
265,34963,9.07,138,-0.56,0.6853
266,35102,-6.74,139,-0.74,0.6841
267,35345,61.81,243,-0.13,0.6819
268,35484,13.37,139,0.09,0.6807
269,35631,24.84,147,0.28,0.6793
270,35749,5.25,118,0.38,0.6783
271,35850,-7.95,101,0.33,0.6774
272,35984,38.99,134,0.75,0.6762
273,36234,32.49,250,1.15,0.6739
274,36425,33.94,191,1.5,0.6722
275,36526,-4.9,101,1.49,0.6713
276,36671,0.82,145,1.57,0.67
277,36781,-1.89,110,1.64,0.669
278,36926,-1.21,145,1.77,0.6677
279,37027,-3.98,101,1.61,0.6668
280,37127,-12.66,100,1.58,0.6659
281,37284,31.18,157,1.93,0.6645
282,37518,22.76,234,2.11,0.6623
283,37648,2.44,130,2.19,0.6612
284,37765,10.12,117,2.42,0.6601
285,37932,32.47,167,2.85,0.6586
286,38084,10.12,152,2.92,0.6573
