device: mps
target network: OFF (2013 paper as published)
ep    10 | step     1221 | reward     6.88 | avg100    -1.86 | eps 0.989 | q     nan |   73.7 steps/s | 0.3 min
ep    20 | step     2473 | reward     3.04 | avg100    -2.96 | eps 0.978 | q     nan |   73.2 steps/s | 0.6 min
ep    30 | step     3891 | reward     9.20 | avg100    -1.88 | eps 0.965 | q     nan |   73.4 steps/s | 0.9 min
ep    40 | step     4913 | reward   -17.12 | avg100    -3.90 | eps 0.956 | q     nan |   73.1 steps/s | 1.1 min
ep    50 | step     6211 | reward    -2.13 | avg100    -4.12 | eps 0.944 | q  -10.09 |   69.5 steps/s | 1.5 min
ep    60 | step     7379 | reward   -10.30 | avg100    -4.75 | eps 0.934 | q   -8.92 |   68.2 steps/s | 1.8 min
ep    70 | step     8795 | reward     2.24 | avg100    -4.64 | eps 0.921 | q   -8.89 |   67.1 steps/s | 2.2 min
ep    80 | step    10100 | reward    -9.03 | avg100    -4.68 | eps 0.909 | q  -14.15 |   66.3 steps/s | 2.5 min
ep    90 | step    11337 | reward     7.40 | avg100    -4.80 | eps 0.898 | q  -14.06 |   65.8 steps/s | 2.9 min
ep   100 | step    12496 | reward    -8.55 | avg100    -4.90 | eps 0.888 | q  -13.89 |   65.4 steps/s | 3.2 min
ep   110 | step    13966 | reward    -4.45 | avg100    -4.32 | eps 0.874 | q  -12.36 |   64.9 steps/s | 3.6 min
ep   120 | step    15230 | reward    -3.90 | avg100    -4.52 | eps 0.863 | q  -10.11 |   64.5 steps/s | 3.9 min
ep   130 | step    16567 | reward     0.62 | avg100    -4.94 | eps 0.851 | q  -14.86 |   64.2 steps/s | 4.3 min
ep   140 | step    17936 | reward     9.84 | avg100    -4.29 | eps 0.839 | q  -15.13 |   63.7 steps/s | 4.7 min
ep   150 | step    19372 | reward    -8.37 | avg100    -3.00 | eps 0.826 | q  -12.77 |   63.4 steps/s | 5.1 min
ep   160 | step    20599 | reward   -10.10 | avg100    -2.84 | eps 0.815 | q  -13.34 |   63.0 steps/s | 5.4 min
ep   170 | step    21838 | reward    -4.79 | avg100    -2.46 | eps 0.803 | q  -15.35 |   62.9 steps/s | 5.8 min
ep   180 | step    23088 | reward    -8.71 | avg100    -2.42 | eps 0.792 | q  -16.64 |   62.8 steps/s | 6.1 min
ep   190 | step    24347 | reward    -0.97 | avg100    -2.42 | eps 0.781 | q  -15.56 |   62.8 steps/s | 6.5 min
ep   200 | step    25675 | reward   -14.79 | avg100    -2.40 | eps 0.769 | q  -12.67 |   62.9 steps/s | 6.8 min
ep   210 | step    27113 | reward    11.31 | avg100    -2.75 | eps 0.756 | q  -19.66 |   63.0 steps/s | 7.2 min
ep   220 | step    28613 | reward     1.91 | avg100    -1.78 | eps 0.742 | q  -15.90 |   63.1 steps/s | 7.6 min
ep   230 | step    29929 | reward   -13.42 | avg100    -1.77 | eps 0.731 | q  -17.92 |   63.2 steps/s | 7.9 min
ep   240 | step    31264 | reward    -5.31 | avg100    -1.73 | eps 0.719 | q  -19.19 |   63.2 steps/s | 8.2 min
ep   250 | step    32579 | reward    18.33 | avg100    -2.39 | eps 0.707 | q  -16.45 |   63.3 steps/s | 8.6 min
