device: mps
target network: ON (Nature 2015)
ep    10 | step     1221 | reward     6.88 | avg100    -1.86 | eps 0.989 | q     nan |   79.7 steps/s | 0.3 min
ep    20 | step     2473 | reward     3.04 | avg100    -2.96 | eps 0.978 | q     nan |   40.8 steps/s | 1.0 min
ep    30 | step     3891 | reward     9.20 | avg100    -1.88 | eps 0.965 | q     nan |   49.7 steps/s | 1.3 min
ep    40 | step     4913 | reward   -17.12 | avg100    -3.90 | eps 0.956 | q     nan |   53.8 steps/s | 1.5 min
ep    50 | step     6286 | reward    -2.41 | avg100    -3.97 | eps 0.943 | q   -0.56 |   56.0 steps/s | 1.9 min
ep    60 | step     7680 | reward    -4.42 | avg100    -4.26 | eps 0.931 | q   -0.68 |   57.5 steps/s | 2.2 min
ep    70 | step     8796 | reward     6.90 | avg100    -4.66 | eps 0.921 | q   -0.72 |   58.3 steps/s | 2.5 min
ep    80 | step     9975 | reward   -21.17 | avg100    -5.00 | eps 0.910 | q   -1.14 |   50.2 steps/s | 3.3 min
ep    90 | step    11313 | reward     0.46 | avg100    -4.80 | eps 0.898 | q   -1.55 |   51.6 steps/s | 3.7 min
ep   100 | step    12597 | reward   -10.29 | avg100    -4.85 | eps 0.887 | q   -1.73 |   52.7 steps/s | 4.0 min
ep   110 | step    13972 | reward     1.35 | avg100    -4.54 | eps 0.874 | q   -1.95 |   53.7 steps/s | 4.3 min
ep   120 | step    15261 | reward     2.77 | avg100    -4.83 | eps 0.863 | q   -2.26 |   54.5 steps/s | 4.7 min
ep   130 | step    16514 | reward     4.45 | avg100    -5.27 | eps 0.851 | q   -2.45 |   55.2 steps/s | 5.0 min
ep   140 | step    17814 | reward     9.80 | avg100    -4.37 | eps 0.840 | q   -2.58 |   51.0 steps/s | 5.8 min
ep   150 | step    19173 | reward    -8.37 | avg100    -4.04 | eps 0.827 | q   -2.91 |   51.8 steps/s | 6.2 min
ep   160 | step    20459 | reward    -3.86 | avg100    -3.61 | eps 0.816 | q   -3.06 |   52.4 steps/s | 6.5 min
ep   170 | step    21940 | reward    -4.79 | avg100    -2.60 | eps 0.803 | q   -3.33 |   53.1 steps/s | 6.9 min
ep   180 | step    23148 | reward   -15.35 | avg100    -2.41 | eps 0.792 | q   -3.86 |   53.6 steps/s | 7.2 min
ep   190 | step    24573 | reward    -5.85 | avg100    -1.79 | eps 0.779 | q   -3.84 |   54.2 steps/s | 7.6 min
ep   200 | step    25964 | reward    -0.13 | avg100    -1.75 | eps 0.766 | q   -3.96 |   51.2 steps/s | 8.4 min
ep   210 | step    27248 | reward   -14.17 | avg100    -2.37 | eps 0.755 | q   -4.82 |   51.7 steps/s | 8.8 min
ep   220 | step    28523 | reward    12.47 | avg100    -1.90 | eps 0.743 | q   -4.33 |   52.1 steps/s | 9.1 min
ep   230 | step    29798 | reward     1.96 | avg100    -1.63 | eps 0.732 | q   -5.12 |   52.6 steps/s | 9.4 min
ep   240 | step    31046 | reward   -17.20 | avg100    -1.80 | eps 0.721 | q   -4.88 |   53.0 steps/s | 9.8 min
ep   250 | step    32291 | reward     4.17 | avg100    -1.54 | eps 0.709 | q   -6.02 |   53.3 steps/s | 10.1 min
ep   260 | step    33733 | reward   -17.11 | avg100    -1.52 | eps 0.696 | q   -5.69 |   53.5 steps/s | 10.5 min
ep   270 | step    34996 | reward    -7.88 | avg100    -2.19 | eps 0.685 | q   -5.74 |   53.8 steps/s | 10.8 min
ep   280 | step    36289 | reward    -4.52 | avg100    -1.55 | eps 0.673 | q   -5.80 |   54.1 steps/s | 11.2 min
ep   290 | step    37514 | reward     5.24 | avg100    -1.89 | eps 0.662 | q   -6.15 |   54.4 steps/s | 11.5 min
ep   300 | step    38778 | reward   -15.00 | avg100    -0.81 | eps 0.651 | q   -6.07 |   54.6 steps/s | 11.8 min
ep   310 | step    40132 | reward     9.45 | avg100    -0.06 | eps 0.639 | q   -5.95 |   54.9 steps/s | 12.2 min
ep   320 | step    41924 | reward    44.23 | avg100     1.67 | eps 0.623 | q   -6.06 |   55.2 steps/s | 12.7 min
ep   330 | step    43542 | reward    48.00 | avg100     3.26 | eps 0.608 | q   -7.04 |   55.3 steps/s | 13.1 min
ep   340 | step    44954 | reward    -6.77 | avg100     3.34 | eps 0.595 | q   -5.80 |   55.6 steps/s | 13.5 min
ep   350 | step    46501 | reward    -3.64 | avg100     5.85 | eps 0.581 | q   -7.43 |   55.8 steps/s | 13.9 min
ep   360 | step    48246 | reward    -3.71 | avg100     8.15 | eps 0.566 | q   -5.74 |   56.0 steps/s | 14.4 min
ep   370 | step    50018 | reward    73.01 | avg100    10.86 | eps 0.550 | q   -5.62 |   56.1 steps/s | 14.9 min
ep   380 | step    51503 | reward   -18.95 | avg100    12.56 | eps 0.536 | q   -6.51 |   56.3 steps/s | 15.3 min
ep   390 | step    53256 | reward   120.64 | avg100    17.31 | eps 0.521 | q   -6.32 |   56.4 steps/s | 15.7 min
ep   400 | step    54894 | reward    14.47 | avg100    18.51 | eps 0.506 | q   -6.72 |   56.6 steps/s | 16.2 min
ep   410 | step    56417 | reward    65.58 | avg100    20.68 | eps 0.492 | q   -6.20 |   56.7 steps/s | 16.6 min
ep   420 | step    58107 | reward    65.64 | avg100    21.99 | eps 0.477 | q   -7.29 |   55.3 steps/s | 17.5 min
ep   430 | step    60115 | reward   -20.39 | avg100    26.13 | eps 0.459 | q   -7.52 |   55.5 steps/s | 18.1 min
ep   440 | step    61737 | reward    51.50 | avg100    29.49 | eps 0.444 | q   -7.30 |   55.6 steps/s | 18.5 min
ep   450 | step    63781 | reward    50.40 | avg100    33.07 | eps 0.426 | q   -7.97 |   55.8 steps/s | 19.1 min
ep   460 | step    65693 | reward    80.82 | avg100    36.07 | eps 0.409 | q   -5.81 |   55.8 steps/s | 19.6 min
ep   470 | step    67438 | reward    40.44 | avg100    40.89 | eps 0.393 | q   -6.06 |   55.9 steps/s | 20.1 min
ep   480 | step    69081 | reward   145.35 | avg100    44.99 | eps 0.378 | q   -6.24 |   56.0 steps/s | 20.6 min
ep   490 | step    70942 | reward    17.08 | avg100    49.50 | eps 0.362 | q   -5.37 |   56.1 steps/s | 21.1 min
ep   500 | step    72881 | reward   132.07 | avg100    57.14 | eps 0.344 | q   -5.12 |   55.0 steps/s | 22.1 min
ep   510 | step    75164 | reward   142.04 | avg100    70.45 | eps 0.324 | q   -3.90 |   55.1 steps/s | 22.7 min
ep   520 | step    77401 | reward   267.04 | avg100    81.86 | eps 0.303 | q   -4.20 |   55.2 steps/s | 23.4 min
ep   530 | step    79699 | reward    62.50 | avg100    93.63 | eps 0.283 | q   -2.42 |   54.2 steps/s | 24.5 min
ep   540 | step    81655 | reward   168.46 | avg100   101.17 | eps 0.265 | q   -3.89 |   54.3 steps/s | 25.1 min
ep   550 | step    83919 | reward   235.55 | avg100   108.94 | eps 0.245 | q   -2.70 |   54.4 steps/s | 25.7 min
ep   560 | step    86419 | reward   355.52 | avg100   129.39 | eps 0.222 | q   -0.27 |   54.5 steps/s | 26.4 min
ep   570 | step    88772 | reward   218.34 | avg100   151.74 | eps 0.201 | q    1.82 |   54.6 steps/s | 27.1 min
ep   580 | step    91046 | reward   279.63 | avg100   179.14 | eps 0.181 | q    4.25 |   54.7 steps/s | 27.8 min
ep   590 | step    93336 | reward   387.55 | avg100   207.59 | eps 0.160 | q    6.61 |   54.7 steps/s | 28.4 min
ep   600 | step    95731 | reward   234.69 | avg100   238.07 | eps 0.138 | q    9.73 |   54.8 steps/s | 29.1 min
ep   610 | step    97964 | reward   524.56 | avg100   262.28 | eps 0.118 | q    7.50 |   54.9 steps/s | 29.8 min
ep   620 | step   100463 | reward   342.71 | avg100   301.80 | eps 0.100 | q   16.40 |   54.9 steps/s | 30.5 min
ep   630 | step   102963 | reward   509.23 | avg100   343.81 | eps 0.100 | q   18.06 |   54.2 steps/s | 31.7 min
ep   640 | step   105366 | reward   472.33 | avg100   382.46 | eps 0.100 | q   25.71 |   54.2 steps/s | 32.4 min
ep   650 | step   107707 | reward   469.02 | avg100   415.98 | eps 0.100 | q   25.61 |   54.3 steps/s | 33.0 min
ep   660 | step   110140 | reward   254.01 | avg100   437.60 | eps 0.100 | q   34.22 |   53.6 steps/s | 34.2 min
ep   670 | step   112529 | reward   331.89 | avg100   457.54 | eps 0.100 | q   27.60 |   53.7 steps/s | 34.9 min
ep   680 | step   114837 | reward   230.04 | avg100   467.17 | eps 0.100 | q   42.91 |   53.8 steps/s | 35.6 min
ep   690 | step   117049 | reward   227.80 | avg100   467.15 | eps 0.100 | q   39.37 |   53.2 steps/s | 36.7 min
ep   700 | step   119107 | reward   617.17 | avg100   469.52 | eps 0.100 | q   42.67 |   53.2 steps/s | 37.3 min
ep   710 | step   121004 | reward   405.38 | avg100   460.34 | eps 0.100 | q   48.25 |   53.3 steps/s | 37.8 min
ep   720 | step   123148 | reward   817.49 | avg100   453.09 | eps 0.100 | q   50.30 |   52.7 steps/s | 38.9 min
ep   730 | step   125547 | reward   805.45 | avg100   449.90 | eps 0.100 | q   44.94 |   52.8 steps/s | 39.6 min
ep   740 | step   127541 | reward   207.67 | avg100   445.57 | eps 0.100 | q   52.51 |   52.9 steps/s | 40.2 min
ep   750 | step   129359 | reward   301.04 | avg100   438.66 | eps 0.100 | q   62.60 |   53.0 steps/s | 40.7 min
ep   760 | step   131577 | reward   327.88 | avg100   440.19 | eps 0.100 | q   70.89 |   52.5 steps/s | 41.8 min
ep   770 | step   133931 | reward   353.85 | avg100   448.47 | eps 0.100 | q   74.03 |   52.6 steps/s | 42.5 min
ep   780 | step   136099 | reward   120.72 | avg100   459.35 | eps 0.100 | q   83.72 |   52.7 steps/s | 43.1 min
ep   790 | step   138189 | reward   252.94 | avg100   467.44 | eps 0.100 | q   85.38 |   52.7 steps/s | 43.7 min
ep   800 | step   140538 | reward   846.43 | avg100   483.67 | eps 0.100 | q   95.26 |   52.8 steps/s | 44.4 min
ep   810 | step   143018 | reward   504.90 | avg100   512.22 | eps 0.100 | q   92.09 |   52.9 steps/s | 45.1 min
ep   820 | step   145486 | reward   780.15 | avg100   522.45 | eps 0.100 | q  112.25 |   52.9 steps/s | 45.8 min
ep   830 | step   147913 | reward   226.44 | avg100   521.57 | eps 0.100 | q  108.68 |   53.0 steps/s | 46.5 min
ep   840 | step   150192 | reward   508.76 | avg100   528.85 | eps 0.100 | q  116.27 |   53.1 steps/s | 47.2 min
ep   850 | step   152466 | reward   294.03 | avg100   542.94 | eps 0.100 | q  109.14 |   52.6 steps/s | 48.3 min
ep   860 | step   154796 | reward   846.04 | avg100   550.54 | eps 0.100 | q  116.17 |   52.7 steps/s | 49.0 min
ep   870 | step   157070 | reward   524.18 | avg100   550.06 | eps 0.100 | q  112.74 |   52.8 steps/s | 49.6 min
ep   880 | step   159501 | reward   641.83 | avg100   560.76 | eps 0.100 | q  127.97 |   52.3 steps/s | 50.8 min
ep   890 | step   161858 | reward   303.22 | avg100   574.19 | eps 0.100 | q  130.54 |   52.4 steps/s | 51.5 min
ep   900 | step   164128 | reward   857.20 | avg100   571.36 | eps 0.100 | q  124.66 |   52.5 steps/s | 52.1 min
ep   910 | step   166554 | reward   676.36 | avg100   579.24 | eps 0.100 | q  144.32 |   52.1 steps/s | 53.3 min
ep   920 | step   168825 | reward   892.00 | avg100   589.50 | eps 0.100 | q  136.99 |   52.2 steps/s | 53.9 min
ep   930 | step   171184 | reward   429.33 | avg100   605.02 | eps 0.100 | q  170.45 |   52.2 steps/s | 54.6 min
ep   940 | step   173467 | reward   847.74 | avg100   607.06 | eps 0.100 | q  150.18 |   51.9 steps/s | 55.7 min
ep   950 | step   175898 | reward   670.19 | avg100   606.04 | eps 0.100 | q  163.92 |   51.9 steps/s | 56.5 min
ep   960 | step   178353 | reward   453.33 | avg100   606.30 | eps 0.100 | q  177.70 |   52.0 steps/s | 57.2 min
ep   970 | step   180824 | reward   684.98 | avg100   614.57 | eps 0.100 | q  176.04 |   52.1 steps/s | 57.9 min
ep   980 | step   183324 | reward   761.74 | avg100   618.63 | eps 0.100 | q  185.04 |   52.1 steps/s | 58.6 min
ep   990 | step   185765 | reward   304.03 | avg100   628.74 | eps 0.100 | q  177.98 |   52.2 steps/s | 59.3 min
ep  1000 | step   188189 | reward  1012.60 | avg100   643.09 | eps 0.100 | q  176.67 |   52.2 steps/s | 60.0 min
ep  1010 | step   190530 | reward   207.24 | avg100   638.64 | eps 0.100 | q  183.50 |   52.3 steps/s | 60.7 min
ep  1020 | step   193002 | reward   839.30 | avg100   650.11 | eps 0.100 | q  181.95 |   52.4 steps/s | 61.4 min
ep  1030 | step   195502 | reward   598.25 | avg100   639.64 | eps 0.100 | q  200.29 |   52.4 steps/s | 62.2 min
ep  1040 | step   197957 | reward   797.69 | avg100   655.15 | eps 0.100 | q  191.83 |   52.5 steps/s | 62.9 min
ep  1050 | step   200418 | reward   826.32 | avg100   673.51 | eps 0.100 | q  203.06 |   52.5 steps/s | 63.6 min
ep  1060 | step   202768 | reward   651.63 | avg100   675.91 | eps 0.100 | q  207.43 |   52.2 steps/s | 64.8 min
ep  1070 | step   205122 | reward   847.57 | avg100   681.11 | eps 0.100 | q  213.84 |   52.3 steps/s | 65.4 min
ep  1080 | step   207620 | reward   859.60 | avg100   688.50 | eps 0.100 | q  210.21 |   51.9 steps/s | 66.6 min
ep  1090 | step   210069 | reward   881.48 | avg100   686.23 | eps 0.100 | q  226.85 |   52.0 steps/s | 67.3 min
ep  1100 | step   212569 | reward   794.93 | avg100   684.07 | eps 0.100 | q  221.49 |   52.1 steps/s | 68.1 min
ep  1110 | step   214914 | reward   884.06 | avg100   689.94 | eps 0.100 | q  224.90 |   51.7 steps/s | 69.2 min
ep  1120 | step   217350 | reward   574.50 | avg100   680.71 | eps 0.100 | q  242.00 |   51.8 steps/s | 69.9 min
ep  1130 | step   219850 | reward   821.05 | avg100   695.78 | eps 0.100 | q  234.25 |   51.9 steps/s | 70.6 min
ep  1140 | step   222350 | reward   643.24 | avg100   704.48 | eps 0.100 | q  253.95 |   51.6 steps/s | 71.8 min
ep  1150 | step   224728 | reward   827.05 | avg100   704.16 | eps 0.100 | q  243.53 |   51.7 steps/s | 72.5 min
ep  1160 | step   227202 | reward  1010.60 | avg100   731.32 | eps 0.100 | q  225.08 |   50.0 steps/s | 75.7 min
ep  1170 | step   229661 | reward   828.57 | avg100   731.17 | eps 0.100 | q  237.02 |   50.1 steps/s | 76.4 min
ep  1180 | step   232161 | reward   678.23 | avg100   730.25 | eps 0.100 | q  244.98 |   50.2 steps/s | 77.1 min
ep  1190 | step   234661 | reward   755.77 | avg100   744.07 | eps 0.100 | q  262.09 |   49.9 steps/s | 78.3 min
ep  1200 | step   237088 | reward   824.14 | avg100   752.58 | eps 0.100 | q  252.13 |   50.0 steps/s | 79.0 min
ep  1210 | step   239528 | reward   435.03 | avg100   747.18 | eps 0.100 | q  256.65 |   50.1 steps/s | 79.7 min
ep  1220 | step   241991 | reward   872.51 | avg100   751.21 | eps 0.100 | q  290.78 |   49.8 steps/s | 80.9 min
ep  1230 | step   244308 | reward   825.93 | avg100   743.70 | eps 0.100 | q  278.61 |   49.9 steps/s | 81.6 min
ep  1240 | step   246793 | reward   800.68 | avg100   735.21 | eps 0.100 | q  294.68 |   49.7 steps/s | 82.8 min
ep  1250 | step   249178 | reward   633.55 | avg100   735.00 | eps 0.100 | q  314.15 |   49.7 steps/s | 83.5 min
ep  1260 | step   251649 | reward   841.61 | avg100   726.69 | eps 0.100 | q  296.98 |   49.8 steps/s | 84.2 min
ep  1270 | step   254149 | reward   760.00 | avg100   739.43 | eps 0.100 | q  311.46 |   49.6 steps/s | 85.4 min
ep  1280 | step   256620 | reward   727.34 | avg100   740.94 | eps 0.100 | q  303.95 |   49.7 steps/s | 86.1 min
ep  1290 | step   259023 | reward   800.38 | avg100   717.88 | eps 0.100 | q  317.05 |   49.7 steps/s | 86.8 min
ep  1300 | step   261438 | reward   749.82 | avg100   718.95 | eps 0.100 | q  312.22 |   49.5 steps/s | 88.0 min
ep  1310 | step   263873 | reward   788.89 | avg100   719.55 | eps 0.100 | q  315.57 |   47.9 steps/s | 91.8 min
ep  1320 | step   266373 | reward   893.17 | avg100   729.90 | eps 0.100 | q  319.03 |   45.8 steps/s | 96.9 min
ep  1330 | step   268873 | reward   763.16 | avg100   740.22 | eps 0.100 | q  317.24 |   45.7 steps/s | 98.1 min
ep  1340 | step   271196 | reward   869.70 | avg100   737.20 | eps 0.100 | q  334.83 |   45.0 steps/s | 100.5 min
ep  1350 | step   273696 | reward   878.02 | avg100   749.77 | eps 0.100 | q  325.53 |   44.4 steps/s | 102.8 min
ep  1360 | step   276162 | reward   878.95 | avg100   744.49 | eps 0.100 | q  346.17 |   44.5 steps/s | 103.5 min
ep  1370 | step   278568 | reward   645.45 | avg100   728.10 | eps 0.100 | q  325.51 |   44.5 steps/s | 104.2 min
ep  1380 | step   281012 | reward   864.29 | avg100   725.63 | eps 0.100 | q  349.05 |   44.6 steps/s | 104.9 min
ep  1390 | step   283432 | reward   395.88 | avg100   736.27 | eps 0.100 | q  340.39 |   44.7 steps/s | 105.6 min
ep  1400 | step   285920 | reward   651.82 | avg100   725.24 | eps 0.100 | q  347.01 |   44.8 steps/s | 106.4 min
ep  1410 | step   288370 | reward   863.10 | avg100   737.76 | eps 0.100 | q  352.62 |   44.9 steps/s | 107.1 min
ep  1420 | step   290791 | reward   829.41 | avg100   736.67 | eps 0.100 | q  367.46 |   44.9 steps/s | 107.9 min
ep  1430 | step   293287 | reward   640.02 | avg100   728.33 | eps 0.100 | q  361.82 |   45.0 steps/s | 108.7 min
