episode,step,reward,length,running_avg,epsilon
1,100,-11.79,100,-11.79,0.9991
2,201,-8.37,101,-10.08,0.9982
3,344,-10.76,143,-10.31,0.9969
4,444,-13.33,100,-11.06,0.996
5,545,-4.57,101,-9.76,0.9951
6,664,1.18,119,-7.94,0.994
7,839,24.74,175,-3.27,0.9925
8,939,-14.54,100,-4.68,0.9916
9,1059,11.93,120,-2.84,0.9905
10,1221,6.88,162,-1.86,0.989
11,1322,-7.07,101,-2.34,0.9881
12,1422,-15.0,100,-3.39,0.9872
13,1602,0.41,180,-3.1,0.9856
14,1709,-5.64,107,-3.28,0.9846
15,1831,-6.18,122,-3.47,0.9835
16,1981,15.47,150,-2.29,0.9822
17,2082,-5.81,101,-2.5,0.9813
18,2182,-10.59,100,-2.95,0.9804
19,2283,-9.26,101,-3.28,0.9795
20,2473,3.04,190,-2.96,0.9778
21,2585,-2.73,112,-2.95,0.9767
22,2685,-14.73,100,-3.49,0.9758
23,2883,0.35,198,-3.32,0.9741
24,3015,1.67,132,-3.11,0.9729
25,3191,0.5,176,-2.97,0.9713
26,3358,10.39,167,-2.45,0.9698
27,3516,11.38,158,-1.94,0.9684
28,3623,-2.06,107,-1.95,0.9674
29,3723,-11.15,100,-2.26,0.9665
30,3891,9.2,168,-1.88,0.965
31,3997,-3.39,106,-1.93,0.964
32,4097,-15.38,100,-2.35,0.9631
33,4209,-4.36,112,-2.41,0.9621
34,4310,-9.34,101,-2.62,0.9612
35,4411,-8.95,101,-2.8,0.9603
36,4512,-6.27,101,-2.89,0.9594
37,4612,-14.55,100,-3.21,0.9585
38,4712,-12.97,100,-3.46,0.9576
39,4813,-7.07,101,-3.56,0.9567
40,4913,-17.12,100,-3.9,0.9558
41,5106,3.88,193,-3.71,0.9541
42,5206,-11.12,100,-3.88,0.9532
43,5391,-7.96,185,-3.98,0.9515
44,5538,-2.46,147,-3.94,0.9502
45,5638,-13.51,100,-4.16,0.9493
46,5739,-5.11,101,-4.18,0.9484
47,5941,-9.63,202,-4.29,0.9465
48,6075,-4.99,134,-4.31,0.9453
49,6175,-17.81,100,-4.58,0.9444
50,6284,-3.73,109,-4.57,0.9435
51,6409,-5.27,125,-4.58,0.9423
52,6556,-9.57,147,-4.68,0.941
53,6696,-1.21,140,-4.61,0.9397
54,6858,10.0,162,-4.34,0.9383
55,7025,1.45,167,-4.23,0.9368
56,7180,-9.06,155,-4.32,0.9354
57,7280,-19.71,100,-4.59,0.9345
58,7381,-6.73,101,-4.63,0.9336
59,7482,-3.36,101,-4.61,0.9327
60,7672,-2.72,190,-4.57,0.931
61,7853,-7.88,181,-4.63,0.9293
62,7953,-12.66,100,-4.76,0.9284
63,8053,-14.68,100,-4.92,0.9275
64,8192,16.34,139,-4.58,0.9263
65,8332,1.03,140,-4.5,0.925
66,8432,-17.21,100,-4.69,0.9241
67,8533,-5.31,101,-4.7,0.9232
68,8646,-3.93,113,-4.69,0.9222
69,8755,-6.31,109,-4.71,0.9212
70,8878,-8.16,123,-4.76,0.9201
71,9011,-11.69,133,-4.86,0.9189
72,9116,-2.57,105,-4.83,0.918
73,9216,-13.68,100,-4.95,0.9171
74,9317,-6.94,101,-4.97,0.9162
75,9417,-22.46,100,-5.21,0.9153
76,9537,1.3,120,-5.12,0.9142
77,9637,-10.8,100,-5.2,0.9133
78,9791,8.51,154,-5.02,0.9119
79,9892,-8.14,101,-5.06,0.911
80,9992,-16.86,100,-5.21,0.9101
81,10101,-1.93,109,-5.17,0.9091
82,10216,-2.71,115,-5.14,0.9081
83,10316,-14.06,100,-5.24,0.9072
84,10417,-3.96,101,-5.23,0.9063
85,10518,-8.14,101,-5.26,0.9053
86,10618,-11.73,100,-5.34,0.9044
87,10723,-4.2,105,-5.33,0.9035
88,10846,-8.49,123,-5.36,0.9024
89,10946,-11.01,100,-5.42,0.9015
90,11047,-7.19,101,-5.44,0.9006
91,11247,-3.91,200,-5.43,0.8988
92,11376,30.84,129,-5.03,0.8976
93,11482,-4.6,106,-5.03,0.8967
94,11588,-4.78,106,-5.03,0.8957
95,11705,-0.04,117,-4.97,0.8947
96,11827,-9.17,122,-5.02,0.8936
97,11980,-13.42,153,-5.1,0.8922
98,12141,-6.58,161,-5.12,0.8907
99,12264,3.68,123,-5.03,0.8896
100,12364,-11.34,100,-5.09,0.8887
101,12534,-8.0,170,-5.06,0.8872
102,12635,-6.62,101,-5.04,0.8863
103,12751,-5.02,116,-4.98,0.8852
104,12887,-4.4,136,-4.89,0.884
105,13017,24.92,130,-4.6,0.8829
106,13117,-12.51,100,-4.73,0.882
107,13217,-11.32,100,-5.09,0.8811
108,13340,4.37,123,-4.9,0.8799
109,13503,-2.0,163,-5.04,0.8785
110,13604,-4.45,101,-5.16,0.8776
111,13704,-17.78,100,-5.26,0.8767
112,13870,32.58,166,-4.79,0.8752
113,13979,-5.5,109,-4.85,0.8742
114,14080,-8.14,101,-4.87,0.8733
115,14219,-0.65,139,-4.82,0.872
116,14320,-6.86,101,-5.04,0.8711
117,14421,-10.0,101,-5.08,0.8702
118,14522,-7.18,101,-5.05,0.8693
119,14623,-6.34,101,-5.02,0.8684
120,14777,14.06,154,-4.91,0.867
121,14886,-2.07,109,-4.9,0.866
122,14986,-18.59,100,-4.94,0.8651
123,15086,-13.98,100,-5.08,0.8642
124,15227,-5.12,141,-5.15,0.863
125,15327,-17.36,100,-5.33,0.8621
126,15498,4.21,171,-5.39,0.8605
127,15624,0.25,126,-5.5,0.8594
128,15725,-9.47,101,-5.58,0.8585
129,15825,-12.79,100,-5.59,0.8576
130,15992,5.72,167,-5.63,0.8561
131,16093,-9.68,101,-5.69,0.8552
132,16193,-18.72,100,-5.73,0.8543
133,16296,-1.52,103,-5.7,0.8533
134,16444,3.1,148,-5.57,0.852
135,16574,13.97,130,-5.34,0.8508
136,16675,-4.69,101,-5.33,0.8499
137,16798,6.98,123,-5.11,0.8488
138,16899,-5.37,101,-5.04,0.8479
139,17002,-4.39,103,-5.01,0.847
140,17103,-3.5,101,-4.87,0.8461
141,17307,5.71,204,-4.86,0.8442
142,17511,2.34,204,-4.72,0.8424
143,17706,-3.7,195,-4.68,0.8407
144,17806,-15.52,100,-4.81,0.8398
145,17950,14.32,144,-4.53,0.8385
146,18082,-1.52,132,-4.49,0.8373
147,18182,-13.08,100,-4.53,0.8364
148,18356,19.35,174,-4.29,0.8348
149,18523,20.54,167,-3.9,0.8333
150,18652,-1.78,129,-3.88,0.8321
151,18752,-10.49,100,-3.93,0.8312
152,18858,-3.94,106,-3.88,0.8303
153,19004,7.14,146,-3.79,0.829
154,19128,-4.15,124,-3.94,0.8279
155,19255,-2.11,127,-3.97,0.8267
156,19487,-6.53,232,-3.95,0.8246
157,19601,-7.86,114,-3.83,0.8236
158,19750,6.09,149,-3.7,0.8223
159,19851,-9.79,101,-3.76,0.8214
160,19952,-7.18,101,-3.81,0.8204
161,20053,-7.18,101,-3.8,0.8195
162,20153,-14.82,100,-3.82,0.8186
163,20334,0.62,181,-3.67,0.817
164,20435,-7.55,101,-3.91,0.8161
165,20536,-8.75,101,-4.01,0.8152
166,20694,16.11,158,-3.67,0.8138
167,20795,-6.31,101,-3.68,0.8129
168,20895,-15.69,100,-3.8,0.812
169,20995,-10.39,100,-3.84,0.8111
170,21095,-10.33,100,-3.86,0.8102
171,21257,-3.16,162,-3.78,0.8087
172,21385,1.09,128,-3.74,0.8075
173,21544,20.65,159,-3.4,0.8061
174,21645,-7.43,101,-3.4,0.8052
175,21745,-15.69,100,-3.34,0.8043
176,21845,-18.46,100,-3.53,0.8034
177,21946,-6.62,101,-3.49,0.8025
178,22089,-10.03,143,-3.68,0.8012
179,22199,-1.2,110,-3.61,0.8002
180,22303,-3.22,104,-3.47,0.7993
181,22414,-4.97,111,-3.5,0.7983
182,22621,-4.23,207,-3.52,0.7964
183,22750,12.11,129,-3.26,0.7953
184,22850,-13.05,100,-3.35,0.7944
185,22951,-4.33,101,-3.31,0.7934
186,23089,-8.94,138,-3.28,0.7922
187,23242,22.66,153,-3.01,0.7908
188,23342,-18.57,100,-3.11,0.7899
189,23497,-0.19,155,-3.0,0.7885
190,23598,-10.32,101,-3.04,0.7876
191,23698,-15.61,100,-3.15,0.7867
192,23865,-11.71,167,-3.58,0.7852
193,23965,-20.77,100,-3.74,0.7843
194,24112,6.07,147,-3.63,0.783
195,24267,12.73,155,-3.5,0.7816
196,24380,-3.13,113,-3.44,0.7806
197,24485,-2.0,105,-3.33,0.7796
198,24620,-1.17,135,-3.27,0.7784
199,24832,19.73,212,-3.11,0.7765
200,24935,-2.78,103,-3.03,0.7756
201,25103,3.17,168,-2.92,0.7741
202,25203,-15.35,100,-3.0,0.7732
203,25303,-10.91,100,-3.06,0.7723
204,25404,-7.55,101,-3.09,0.7714
205,25504,-11.15,100,-3.46,0.7705
206,25620,0.04,116,-3.33,0.7694
207,25727,-5.99,107,-3.28,0.7685
208,25828,-4.81,101,-3.37,0.7676
209,25936,-4.23,108,-3.39,0.7666
210,26055,7.75,119,-3.27,0.7655
211,26207,0.3,152,-3.09,0.7641
212,26387,-4.2,180,-3.46,0.7625
213,26560,12.86,173,-3.27,0.761
214,26660,-10.59,100,-3.3,0.7601
215,26809,3.02,149,-3.26,0.7587
216,26966,1.98,157,-3.17,0.7573
217,27084,7.46,118,-3.0,0.7563
218,27241,24.65,157,-2.68,0.7548
219,27396,-2.6,155,-2.64,0.7534
220,27497,-4.54,101,-2.83,0.7525
221,27633,33.94,136,-2.47,0.7513
222,27883,125.81,250,-1.02,0.7491
223,28000,-1.35,117,-0.9,0.748
224,28216,23.09,216,-0.61,0.7461
225,28317,-5.8,101,-0.5,0.7452
226,28491,6.57,174,-0.48,0.7436
227,28601,-4.37,110,-0.52,0.7426
228,28702,-7.4,101,-0.5,0.7417
229,28855,17.09,153,-0.2,0.7403
230,29037,16.9,182,-0.09,0.7387
231,29137,-11.43,100,-0.11,0.7378
232,29277,8.01,140,0.16,0.7365
233,29389,-5.37,112,0.12,0.7355
234,29561,-6.88,172,0.02,0.734
235,29662,-5.59,101,-0.17,0.7331
236,29879,-3.18,217,-0.16,0.7311
237,29991,-0.3,112,-0.23,0.7301
238,30160,16.0,169,-0.02,0.7286
239,30261,-8.12,101,-0.06,0.7277
240,30395,1.77,134,-0.0,0.7265
241,30495,-14.04,100,-0.2,0.7256
242,30648,6.83,153,-0.16,0.7242
243,30749,-3.36,101,-0.15,0.7233
244,30937,-0.4,188,-0.0,0.7216
245,31038,-6.55,101,-0.21,0.7207
246,31138,-14.44,100,-0.34,0.7198
247,31239,-4.94,101,-0.26,0.7189
248,31393,-4.78,154,-0.5,0.7175
249,31494,-8.49,101,-0.79,0.7166
250,31695,7.72,201,-0.69,0.7148
251,31809,-7.14,114,-0.66,0.7137
252,31932,4.67,123,-0.57,0.7126
253,32087,-0.63,155,-0.65,0.7112
254,32206,-3.98,119,-0.65,0.7102
255,32307,-7.47,101,-0.7,0.7092
256,32433,0.51,126,-0.63,0.7081
257,32588,15.46,155,-0.4,0.7067
258,32688,-19.67,100,-0.66,0.7058
259,32906,-6.36,218,-0.62,0.7039
260,33011,-4.46,105,-0.6,0.7029
261,33123,-6.34,112,-0.59,0.7019
262,33224,-4.45,101,-0.48,0.701
263,33341,-3.9,117,-0.53,0.6999
264,33465,-8.03,124,-0.53,0.6988
265,33566,-4.92,101,-0.5,0.6979
266,33749,8.23,183,-0.57,0.6963
267,33900,-7.4,151,-0.59,0.6949
268,34001,-9.37,101,-0.52,0.694
269,34102,-3.9,101,-0.46,0.6931
270,34215,-0.48,113,-0.36,0.6921
271,34325,-5.65,110,-0.38,0.6911
272,34527,-6.45,202,-0.46,0.6893
273,34659,-2.72,132,-0.69,0.6881
274,34866,17.2,207,-0.45,0.6862
275,34988,6.86,122,-0.22,0.6851
276,35089,-5.8,101,-0.09,0.6842
277,35262,36.06,173,0.33,0.6827
278,35363,-8.35,101,0.35,0.6817
279,35471,-3.46,108,0.33,0.6808
280,35721,48.44,250,0.84,0.6785
281,35836,2.87,115,0.92,0.6775
282,35975,17.13,139,1.14,0.6762
283,36120,-9.29,145,0.92,0.6749
284,36330,-1.53,210,1.04,0.673
285,36499,-2.66,169,1.05,0.6715
