device: mps
target network: ON (Nature 2015)
double DQN:     ON (van Hasselt 2016)
ep    10 | step     1221 | reward     6.88 | avg100    -1.86 | eps 0.989 | q     nan |   78.8 steps/s | 0.3 min
ep    20 | step     2473 | reward     3.04 | avg100    -2.96 | eps 0.978 | q     nan |   78.9 steps/s | 0.5 min
ep    30 | step     3891 | reward     9.20 | avg100    -1.88 | eps 0.965 | q     nan |   79.4 steps/s | 0.8 min
ep    40 | step     4913 | reward   -17.12 | avg100    -3.90 | eps 0.956 | q     nan |   79.3 steps/s | 1.0 min
froze 500 held-out states at step 5000
ep    50 | step     6284 | reward    -3.73 | avg100    -4.57 | eps 0.943 | q   -0.53 |   75.9 steps/s | 1.4 min
ep    60 | step     7672 | reward    -2.72 | avg100    -4.57 | eps 0.931 | q   -0.79 |   73.8 steps/s | 1.7 min
ep    70 | step     8878 | reward    -8.16 | avg100    -4.76 | eps 0.920 | q   -0.71 |   72.5 steps/s | 2.0 min
ep    80 | step     9992 | reward   -16.86 | avg100    -5.21 | eps 0.910 | q   -1.45 |   70.5 steps/s | 2.4 min
ep    90 | step    11047 | reward    -7.19 | avg100    -5.44 | eps 0.901 | q   -1.90 |   69.9 steps/s | 2.6 min
ep   100 | step    12364 | reward   -11.34 | avg100    -5.09 | eps 0.889 | q   -2.10 |   69.2 steps/s | 3.0 min
ep   110 | step    13604 | reward    -4.45 | avg100    -5.16 | eps 0.878 | q   -2.28 |   68.7 steps/s | 3.3 min
ep   120 | step    14777 | reward    14.06 | avg100    -4.91 | eps 0.867 | q   -2.60 |   68.2 steps/s | 3.6 min
ep   130 | step    15992 | reward     5.72 | avg100    -5.63 | eps 0.856 | q   -2.94 |   67.8 steps/s | 3.9 min
ep   140 | step    17103 | reward    -3.50 | avg100    -4.87 | eps 0.846 | q   -2.82 |   67.5 steps/s | 4.2 min
ep   150 | step    18652 | reward    -1.78 | avg100    -3.88 | eps 0.832 | q   -3.68 |   60.7 steps/s | 5.1 min
ep   160 | step    19952 | reward    -7.18 | avg100    -3.81 | eps 0.820 | q   -4.16 |   60.8 steps/s | 5.5 min
ep   170 | step    21095 | reward   -10.33 | avg100    -3.86 | eps 0.810 | q   -3.86 |   61.0 steps/s | 5.8 min
ep   180 | step    22303 | reward    -3.22 | avg100    -3.47 | eps 0.799 | q   -3.83 |   61.2 steps/s | 6.1 min
ep   190 | step    23598 | reward   -10.32 | avg100    -3.04 | eps 0.788 | q   -4.78 |   61.3 steps/s | 6.4 min
ep   200 | step    24935 | reward    -2.78 | avg100    -3.03 | eps 0.776 | q   -4.69 |   61.4 steps/s | 6.8 min
ep   210 | step    26055 | reward     7.75 | avg100    -3.27 | eps 0.766 | q   -4.68 |   61.5 steps/s | 7.1 min
ep   220 | step    27497 | reward    -4.54 | avg100    -2.83 | eps 0.753 | q   -5.76 |   57.8 steps/s | 7.9 min
ep   230 | step    29037 | reward    16.90 | avg100    -0.09 | eps 0.739 | q   -5.42 |   58.0 steps/s | 8.3 min
ep   240 | step    30395 | reward     1.77 | avg100    -0.00 | eps 0.726 | q   -6.51 |   58.3 steps/s | 8.7 min
ep   250 | step    31695 | reward     7.72 | avg100    -0.69 | eps 0.715 | q   -6.39 |   58.5 steps/s | 9.0 min
ep   260 | step    33011 | reward    -4.46 | avg100    -0.60 | eps 0.703 | q   -7.20 |   58.5 steps/s | 9.4 min
ep   270 | step    34215 | reward    -0.48 | avg100    -0.36 | eps 0.692 | q   -6.35 |   58.7 steps/s | 9.7 min
ep   280 | step    35721 | reward    48.44 | avg100     0.84 | eps 0.679 | q   -6.12 |   58.8 steps/s | 10.1 min
ep   290 | step    37239 | reward    17.90 | avg100     1.37 | eps 0.665 | q   -6.02 |   50.9 steps/s | 12.2 min
ep   300 | step    38759 | reward     0.74 | avg100     2.28 | eps 0.651 | q   -6.55 |   51.3 steps/s | 12.6 min
ep   310 | step    40121 | reward     8.92 | avg100     2.41 | eps 0.639 | q   -6.68 |   45.5 steps/s | 14.7 min
ep   320 | step    41708 | reward    -4.34 | avg100     2.76 | eps 0.625 | q   -8.69 |   46.0 steps/s | 15.1 min
ep   330 | step    43392 | reward    -7.60 | avg100     1.76 | eps 0.609 | q   -7.77 |   22.8 steps/s | 31.8 min
ep   340 | step    45179 | reward    24.87 | avg100     2.64 | eps 0.593 | q   -7.99 |   23.4 steps/s | 32.2 min
ep   350 | step    47020 | reward    23.81 | avg100     4.01 | eps 0.577 | q   -6.74 |   23.9 steps/s | 32.7 min
ep   360 | step    48588 | reward     0.38 | avg100     4.43 | eps 0.563 | q   -6.58 |   24.4 steps/s | 33.1 min
ep   370 | step    50432 | reward    10.91 | avg100     7.08 | eps 0.546 | q   -7.02 |   25.0 steps/s | 33.6 min
ep   380 | step    52185 | reward    -3.40 | avg100     7.72 | eps 0.530 | q   -6.62 |   25.5 steps/s | 34.1 min
ep   390 | step    54394 | reward    37.41 | avg100    12.18 | eps 0.510 | q   -6.11 |   26.1 steps/s | 34.7 min
ep   400 | step    56365 | reward    -6.20 | avg100    15.07 | eps 0.493 | q   -6.03 |   26.6 steps/s | 35.3 min
ep   410 | step    58147 | reward    78.57 | avg100    18.76 | eps 0.477 | q   -6.82 |   27.1 steps/s | 35.8 min
ep   420 | step    59920 | reward    71.78 | avg100    22.54 | eps 0.461 | q   -5.93 |   27.5 steps/s | 36.3 min
ep   430 | step    61775 | reward    48.47 | avg100    25.83 | eps 0.444 | q   -6.85 |   28.0 steps/s | 36.8 min
ep   440 | step    63288 | reward    26.36 | avg100    28.31 | eps 0.430 | q   -6.01 |   28.4 steps/s | 37.2 min
ep   450 | step    65069 | reward   113.33 | avg100    33.63 | eps 0.414 | q   -5.29 |   28.8 steps/s | 37.7 min
ep   460 | step    67260 | reward   158.62 | avg100    47.75 | eps 0.395 | q   -5.93 |   29.3 steps/s | 38.3 min
ep   470 | step    69543 | reward   302.93 | avg100    64.30 | eps 0.374 | q   -5.75 |   29.8 steps/s | 39.0 min
ep   480 | step    71640 | reward   123.05 | avg100    77.80 | eps 0.355 | q   -3.81 |   30.2 steps/s | 39.6 min
ep   490 | step    73545 | reward    10.30 | avg100    81.44 | eps 0.338 | q   -4.57 |   30.5 steps/s | 40.1 min
ep   500 | step    75710 | reward   199.30 | avg100    89.46 | eps 0.319 | q   -3.27 |   30.9 steps/s | 40.8 min
ep   510 | step    78133 | reward   107.01 | avg100   105.41 | eps 0.297 | q   -5.99 |   31.4 steps/s | 41.5 min
ep   520 | step    80608 | reward   225.09 | avg100   118.34 | eps 0.275 | q   -1.92 |   31.8 steps/s | 42.3 min
ep   530 | step    82899 | reward   199.32 | avg100   133.53 | eps 0.254 | q   -1.62 |   32.1 steps/s | 43.0 min
ep   540 | step    85339 | reward   175.17 | avg100   153.77 | eps 0.232 | q    3.12 |   32.5 steps/s | 43.8 min
ep   550 | step    87839 | reward   255.48 | avg100   177.52 | eps 0.209 | q    2.75 |   32.8 steps/s | 44.6 min
ep   560 | step    90125 | reward   331.68 | avg100   185.49 | eps 0.189 | q    3.65 |   32.6 steps/s | 46.1 min
ep   570 | step    92503 | reward   410.07 | avg100   208.01 | eps 0.167 | q    7.91 |   31.6 steps/s | 48.8 min
