episode,step,reward,length,running_avg,epsilon
1,100,-11.79,100,-11.79,0.9991
2,201,-8.37,101,-10.08,0.9982
3,344,-10.76,143,-10.31,0.9969
4,444,-13.33,100,-11.06,0.996
5,545,-4.57,101,-9.76,0.9951
6,664,1.18,119,-7.94,0.994
7,839,24.74,175,-3.27,0.9925
8,939,-14.54,100,-4.68,0.9916
9,1059,11.93,120,-2.84,0.9905
10,1221,6.88,162,-1.86,0.989
11,1322,-7.07,101,-2.34,0.9881
12,1422,-15.0,100,-3.39,0.9872
13,1602,0.41,180,-3.1,0.9856
14,1709,-5.64,107,-3.28,0.9846
15,1831,-6.18,122,-3.47,0.9835
16,1981,15.47,150,-2.29,0.9822
17,2082,-5.81,101,-2.5,0.9813
18,2182,-10.59,100,-2.95,0.9804
19,2283,-9.26,101,-3.28,0.9795
20,2473,3.04,190,-2.96,0.9778
21,2585,-2.73,112,-2.95,0.9767
22,2685,-14.73,100,-3.49,0.9758
23,2883,0.35,198,-3.32,0.9741
24,3015,1.67,132,-3.11,0.9729
25,3191,0.5,176,-2.97,0.9713
26,3358,10.39,167,-2.45,0.9698
27,3516,11.38,158,-1.94,0.9684
28,3623,-2.06,107,-1.95,0.9674
29,3723,-11.15,100,-2.26,0.9665
30,3891,9.2,168,-1.88,0.965
31,3997,-3.39,106,-1.93,0.964
32,4097,-15.38,100,-2.35,0.9631
33,4209,-4.36,112,-2.41,0.9621
34,4310,-9.34,101,-2.62,0.9612
35,4411,-8.95,101,-2.8,0.9603
36,4512,-6.27,101,-2.89,0.9594
37,4612,-14.55,100,-3.21,0.9585
38,4712,-12.97,100,-3.46,0.9576
39,4813,-7.07,101,-3.56,0.9567
40,4913,-17.12,100,-3.9,0.9558
41,5106,3.88,193,-3.71,0.9541
42,5206,-11.12,100,-3.88,0.9532
43,5391,-7.96,185,-3.98,0.9515
44,5538,-2.46,147,-3.94,0.9502
45,5638,-13.51,100,-4.16,0.9493
46,5739,-5.11,101,-4.18,0.9484
47,5941,-9.63,202,-4.29,0.9465
48,6075,-4.99,134,-4.31,0.9453
49,6175,-17.81,100,-4.58,0.9444
50,6288,-2.01,113,-4.53,0.9434
51,6409,-3.67,121,-4.51,0.9423
52,6556,-9.57,147,-4.61,0.941
53,6696,-1.21,140,-4.55,0.9397
54,6858,10.0,162,-4.28,0.9383
55,7025,1.45,167,-4.17,0.9368
56,7180,-9.06,155,-4.26,0.9354
57,7280,-19.71,100,-4.53,0.9345
58,7381,-6.73,101,-4.57,0.9336
59,7482,-3.36,101,-4.55,0.9327
60,7672,-3.52,190,-4.53,0.931
61,7853,-7.88,181,-4.59,0.9293
62,7953,-12.66,100,-4.72,0.9284
63,8053,-14.68,100,-4.88,0.9275
64,8156,-1.63,103,-4.82,0.9266
65,8330,6.35,174,-4.65,0.925
66,8430,-17.21,100,-4.84,0.9241
67,8530,-10.76,100,-4.93,0.9232
68,8661,1.57,131,-4.84,0.9221
69,8793,1.44,132,-4.75,0.9209
70,8894,-3.09,101,-4.72,0.92
71,9012,-5.69,118,-4.73,0.9189
72,9116,-2.17,104,-4.7,0.918
73,9216,-13.68,100,-4.82,0.9171
74,9316,-13.98,100,-4.95,0.9162
75,9416,-22.46,100,-5.18,0.9153
76,9574,7.22,158,-5.02,0.9138
77,9703,6.79,129,-4.86,0.9127
78,9803,-10.48,100,-4.94,0.9118
79,9904,-8.14,101,-4.98,0.9109
80,10004,-19.31,100,-5.15,0.91
81,10104,-12.22,100,-5.24,0.9091
82,10221,0.82,117,-5.17,0.908
83,10321,-10.91,100,-5.24,0.9071
84,10422,-3.96,101,-5.22,0.9062
85,10523,-8.14,101,-5.26,0.9053
86,10623,-18.8,100,-5.41,0.9044
87,10728,-4.2,105,-5.4,0.9035
88,10841,-7.66,113,-5.43,0.9024
89,10941,-11.01,100,-5.49,0.9015
90,11042,-7.19,101,-5.51,0.9006
91,11216,2.86,174,-5.42,0.8991
92,11321,-2.57,105,-5.38,0.8981
93,11432,0.27,111,-5.32,0.8971
94,11603,-5.7,171,-5.33,0.8956
95,11704,-4.43,101,-5.32,0.8947
96,11827,-9.57,123,-5.36,0.8936
97,11980,-13.42,153,-5.45,0.8922
98,12092,-0.58,112,-5.4,0.8912
99,12269,-2.67,177,-5.37,0.8896
100,12369,-11.34,100,-5.43,0.8887
101,12524,-8.67,155,-5.4,0.8873
102,12647,-1.9,123,-5.33,0.8862
103,12751,-3.67,104,-5.26,0.8852
104,12852,-8.26,101,-5.21,0.8843
105,13001,9.63,149,-5.07,0.883
106,13158,12.8,157,-4.95,0.8816
107,13338,7.42,180,-5.13,0.88
108,13504,1.36,166,-4.97,0.8785
109,13666,13.27,162,-4.95,0.877
110,13817,1.59,151,-5.01,0.8757
111,13926,-2.86,109,-4.96,0.8747
112,14027,-9.68,101,-4.91,0.8738
113,14165,-7.58,138,-4.99,0.8725
114,14266,-4.92,101,-4.98,0.8716
115,14420,-6.65,154,-4.99,0.8702
116,14520,-12.56,100,-5.27,0.8693
117,14621,-10.0,101,-5.31,0.8684
118,14782,12.01,161,-5.08,0.867
119,14883,-6.34,101,-5.06,0.8661
120,15053,-8.79,170,-5.17,0.8645
121,15189,-0.09,136,-5.15,0.8633
122,15323,4.5,134,-4.95,0.8621
123,15439,-5.51,116,-5.01,0.8611
124,15540,-7.43,101,-5.1,0.8601
125,15649,-5.86,109,-5.17,0.8592
126,15750,-7.4,101,-5.35,0.8583
127,15851,-5.8,101,-5.52,0.8574
128,15971,0.11,120,-5.5,0.8563
129,16084,-0.98,113,-5.39,0.8553
130,16185,-6.05,101,-5.55,0.8543
131,16302,-5.84,117,-5.57,0.8533
132,16402,-12.64,100,-5.54,0.8524
133,16522,-0.38,120,-5.5,0.8513
134,16646,12.7,124,-5.28,0.8502
135,16747,-10.4,101,-5.3,0.8493
136,16847,-11.43,100,-5.35,0.8484
137,16996,19.05,149,-5.01,0.847
138,17145,-8.64,149,-4.97,0.8457
139,17271,-10.52,126,-5.01,0.8446
140,17385,-1.32,114,-4.85,0.8435
141,17485,-14.17,100,-5.03,0.8426
142,17586,-7.55,101,-4.99,0.8417
143,17692,-5.25,106,-4.96,0.8408
144,17831,7.34,139,-4.87,0.8395
145,17943,3.15,112,-4.7,0.8385
146,18084,-1.45,141,-4.66,0.8373
147,18184,-13.08,100,-4.7,0.8364
148,18314,3.12,130,-4.62,0.8352
149,18496,3.79,182,-4.4,0.8335
150,18709,3.77,213,-4.34,0.8316
151,18810,-7.61,101,-4.38,0.8307
152,18911,-8.35,101,-4.37,0.8298
153,19058,10.54,147,-4.25,0.8285
154,19159,-8.93,101,-4.44,0.8276
155,19259,-10.04,100,-4.56,0.8267
156,19360,-5.11,101,-4.52,0.8258
157,19517,3.24,157,-4.29,0.8244
158,19649,0.66,132,-4.21,0.8232
159,19769,-7.18,120,-4.25,0.8221
160,19884,-2.81,115,-4.25,0.8211
161,20007,-2.69,123,-4.19,0.8199
162,20137,-8.83,130,-4.16,0.8188
163,20307,1.84,170,-3.99,0.8172
164,20426,-4.0,119,-4.01,0.8162
165,20554,15.26,128,-3.92,0.815
166,20712,22.4,158,-3.53,0.8136
167,20861,1.01,149,-3.41,0.8123
168,20986,-8.88,125,-3.52,0.8111
169,21108,-6.04,122,-3.59,0.81
170,21208,-19.23,100,-3.75,0.8091
171,21314,-4.73,106,-3.74,0.8082
172,21449,8.09,135,-3.64,0.807
173,21662,-1.15,213,-3.51,0.8051
174,21843,0.86,181,-3.37,0.8034
175,21943,-12.22,100,-3.26,0.8025
176,22102,-11.29,159,-3.45,0.8011
177,22203,-9.99,101,-3.62,0.8002
178,22324,-10.66,121,-3.62,0.7991
179,22437,1.49,113,-3.52,0.7981
180,22595,3.7,158,-3.29,0.7967
181,22709,-2.59,114,-3.2,0.7956
182,22809,-11.43,100,-3.32,0.7947
183,22925,1.06,116,-3.2,0.7937
184,23051,-3.05,126,-3.19,0.7925
185,23151,-17.05,100,-3.28,0.7916
186,23311,10.13,160,-2.99,0.7902
187,23437,-2.61,126,-2.97,0.7891
188,23538,-8.26,101,-2.98,0.7882
189,23676,10.09,138,-2.77,0.7869
190,23879,-9.82,203,-2.79,0.7851
191,23984,-3.67,105,-2.86,0.7842
192,24115,8.89,131,-2.74,0.783
193,24261,9.21,146,-2.66,0.7817
194,24380,-3.85,119,-2.64,0.7806
195,24481,-8.37,101,-2.68,0.7797
196,24622,11.46,141,-2.47,0.7784
197,24794,3.93,172,-2.29,0.7769
198,24894,-10.41,100,-2.39,0.776
199,25024,-3.22,130,-2.4,0.7748
200,25156,12.01,132,-2.16,0.7736
201,25317,-8.84,161,-2.16,0.7722
202,25435,5.62,118,-2.09,0.7711
203,25536,-4.04,101,-2.09,0.7702
204,25647,-4.25,111,-2.05,0.7692
205,25785,-0.71,138,-2.16,0.7679
206,25951,-13.77,166,-2.42,0.7664
207,26113,-9.59,162,-2.59,0.765
208,26282,0.02,169,-2.61,0.7635
209,26382,-13.86,100,-2.88,0.7626
210,26632,25.11,250,-2.64,0.7603
211,26759,1.35,127,-2.6,0.7592
212,26860,-6.5,101,-2.57,0.7583
213,27001,-3.61,141,-2.53,0.757
214,27115,-1.48,114,-2.49,0.756
215,27216,-5.56,101,-2.48,0.7551
216,27392,-6.22,176,-2.42,0.7535
217,27492,-11.06,100,-2.43,0.7526
218,27593,-9.98,101,-2.65,0.7517
219,27694,-6.23,101,-2.65,0.7508
220,27831,8.95,137,-2.47,0.7495
221,27932,-8.6,101,-2.56,0.7486
222,28175,64.09,243,-1.96,0.7464
223,28425,43.94,250,-1.47,0.7442
224,28526,-7.65,101,-1.47,0.7433
225,28627,-5.8,101,-1.47,0.7424
226,28780,19.88,153,-1.2,0.741
227,28881,-9.91,101,-1.24,0.7401
228,28981,-16.9,100,-1.41,0.7392
229,29082,-4.81,101,-1.44,0.7383
230,29182,-16.74,100,-1.55,0.7374
231,29283,-8.26,101,-1.58,0.7365
232,29426,6.86,143,-1.38,0.7352
233,29562,-7.81,136,-1.45,0.734
234,29670,-2.91,108,-1.61,0.733
235,29770,-14.68,100,-1.65,0.7321
236,29881,-2.59,111,-1.57,0.7311
237,29982,-5.58,101,-1.81,0.7302
238,30083,-5.38,101,-1.78,0.7293
239,30217,-5.74,134,-1.73,0.7281
240,30394,-12.17,177,-1.84,0.7265
241,30494,-10.68,100,-1.8,0.7256
242,30702,-8.37,208,-1.81,0.7237
243,30803,-7.07,101,-1.83,0.7228
244,30979,8.17,176,-1.82,0.7212
245,31114,-7.85,135,-1.93,0.72
246,31263,1.1,149,-1.91,0.7186
247,31409,-1.66,146,-1.79,0.7173
248,31539,4.82,130,-1.78,0.7162
249,31653,7.59,114,-1.74,0.7151
250,31834,7.96,181,-1.7,0.7135
251,31935,-5.78,101,-1.68,0.7126
252,32035,-19.8,100,-1.79,0.7117
253,32231,22.68,196,-1.67,0.7099
254,32339,-6.29,108,-1.64,0.709
255,32462,10.68,123,-1.44,0.7079
256,32566,-1.6,104,-1.4,0.7069
257,32702,8.98,136,-1.34,0.7057
258,32833,-10.15,131,-1.45,0.7045
259,33042,27.18,209,-1.11,0.7026
260,33158,-5.59,116,-1.14,0.7016
261,33258,-14.36,100,-1.25,0.7007
262,33400,2.02,142,-1.15,0.6994
263,33501,-7.4,101,-1.24,0.6985
264,33602,-5.68,101,-1.25,0.6976
265,33702,-19.17,100,-1.6,0.6967
266,33837,4.18,135,-1.78,0.6955
267,34087,13.07,250,-1.66,0.6932
268,34188,-9.37,101,-1.67,0.6923
269,34294,-2.4,106,-1.63,0.6914
270,34544,1.63,250,-1.42,0.6891
271,34664,2.15,120,-1.35,0.688
272,34765,-3.23,101,-1.46,0.6871
273,34892,-9.79,127,-1.55,0.686
274,34992,-17.86,100,-1.74,0.6851
275,35093,-4.9,101,-1.66,0.6842
276,35250,13.32,157,-1.42,0.6828
277,35497,51.88,247,-0.8,0.6805
278,35747,44.23,250,-0.25,0.6783
279,35847,-13.51,100,-0.4,0.6774
280,35978,10.1,131,-0.34,0.6762
281,36228,20.3,250,-0.11,0.674
282,36389,22.87,161,0.23,0.6725
283,36490,-6.02,101,0.16,0.6716
284,36591,-9.47,101,0.1,0.6707
285,36819,-0.29,228,0.27,0.6686
