device: mps
target network: ON (Nature 2015)
double DQN:     OFF (standard max target)
ep    10 | step     1221 | reward     6.88 | avg100    -1.86 | eps 0.989 | q     nan |   81.8 steps/s | 0.2 min
ep    20 | step     2473 | reward     3.04 | avg100    -2.96 | eps 0.978 | q     nan |   81.4 steps/s | 0.5 min
ep    30 | step     3891 | reward     9.20 | avg100    -1.88 | eps 0.965 | q     nan |   80.5 steps/s | 0.8 min
ep    40 | step     4913 | reward   -17.12 | avg100    -3.90 | eps 0.956 | q     nan |   80.4 steps/s | 1.0 min
froze 500 held-out states at step 5000
ep    50 | step     6288 | reward    -2.01 | avg100    -4.53 | eps 0.943 | q   -0.47 |   76.7 steps/s | 1.4 min
ep    60 | step     7672 | reward    -3.52 | avg100    -4.53 | eps 0.931 | q   -0.70 |   74.7 steps/s | 1.7 min
ep    70 | step     8894 | reward    -3.09 | avg100    -4.72 | eps 0.920 | q   -0.82 |   73.4 steps/s | 2.0 min
ep    80 | step    10004 | reward   -19.31 | avg100    -5.15 | eps 0.910 | q   -1.07 |   72.5 steps/s | 2.3 min
ep    90 | step    11042 | reward    -7.19 | avg100    -5.51 | eps 0.901 | q   -1.48 |   71.9 steps/s | 2.6 min
ep   100 | step    12369 | reward   -11.34 | avg100    -5.43 | eps 0.889 | q   -1.42 |   71.2 steps/s | 2.9 min
ep   110 | step    13817 | reward     1.59 | avg100    -5.01 | eps 0.876 | q   -2.06 |   70.6 steps/s | 3.3 min
ep   120 | step    15053 | reward    -8.79 | avg100    -5.17 | eps 0.865 | q   -1.64 |   70.1 steps/s | 3.6 min
ep   130 | step    16185 | reward    -6.05 | avg100    -5.55 | eps 0.854 | q   -1.98 |   69.8 steps/s | 3.9 min
ep   140 | step    17385 | reward    -1.32 | avg100    -4.85 | eps 0.844 | q   -2.56 |   69.1 steps/s | 4.2 min
ep   150 | step    18709 | reward     3.77 | avg100    -4.34 | eps 0.832 | q   -2.79 |   68.5 steps/s | 4.6 min
ep   160 | step    19884 | reward    -2.81 | avg100    -4.25 | eps 0.821 | q   -2.79 |   68.2 steps/s | 4.9 min
ep   170 | step    21208 | reward   -19.23 | avg100    -3.75 | eps 0.809 | q   -2.13 |   67.9 steps/s | 5.2 min
ep   180 | step    22595 | reward     3.70 | avg100    -3.29 | eps 0.797 | q   -3.19 |   67.7 steps/s | 5.6 min
ep   190 | step    23879 | reward    -9.82 | avg100    -2.79 | eps 0.785 | q   -2.95 |   67.5 steps/s | 5.9 min
ep   200 | step    25156 | reward    12.01 | avg100    -2.16 | eps 0.774 | q   -3.26 |   67.4 steps/s | 6.2 min
ep   210 | step    26632 | reward    25.11 | avg100    -2.64 | eps 0.760 | q   -3.75 |   67.2 steps/s | 6.6 min
ep   220 | step    27831 | reward     8.95 | avg100    -2.47 | eps 0.750 | q   -3.92 |   67.1 steps/s | 6.9 min
ep   230 | step    29182 | reward   -16.74 | avg100    -1.55 | eps 0.737 | q   -4.19 |   66.9 steps/s | 7.3 min
ep   240 | step    30394 | reward   -12.17 | avg100    -1.84 | eps 0.726 | q   -4.33 |   66.8 steps/s | 7.6 min
ep   250 | step    31834 | reward     7.96 | avg100    -1.70 | eps 0.714 | q   -4.98 |   66.7 steps/s | 8.0 min
ep   260 | step    33158 | reward    -5.59 | avg100    -1.14 | eps 0.702 | q   -5.17 |   66.5 steps/s | 8.3 min
ep   270 | step    34544 | reward     1.63 | avg100    -1.42 | eps 0.689 | q   -4.37 |   66.4 steps/s | 8.7 min
ep   280 | step    35978 | reward    10.10 | avg100    -0.34 | eps 0.676 | q   -4.81 |   66.3 steps/s | 9.0 min
ep   290 | step    37412 | reward     5.60 | avg100     0.26 | eps 0.663 | q   -4.96 |   66.2 steps/s | 9.4 min
ep   300 | step    38860 | reward     7.34 | avg100     0.33 | eps 0.650 | q   -4.82 |   66.1 steps/s | 9.8 min
ep   310 | step    40378 | reward    32.84 | avg100     0.61 | eps 0.637 | q   -4.98 |   66.0 steps/s | 10.2 min
ep   320 | step    41936 | reward    19.35 | avg100     1.51 | eps 0.623 | q   -5.70 |   65.8 steps/s | 10.6 min
ep   330 | step    43388 | reward    -8.40 | avg100     0.94 | eps 0.610 | q   -5.60 |   65.7 steps/s | 11.0 min
ep   340 | step    44678 | reward    -9.98 | avg100     0.81 | eps 0.598 | q   -5.99 |   65.6 steps/s | 11.3 min
ep   350 | step    46128 | reward     8.87 | avg100     0.80 | eps 0.585 | q   -5.97 |   65.5 steps/s | 11.7 min
ep   360 | step    47569 | reward     9.38 | avg100     0.74 | eps 0.572 | q   -5.31 |   65.4 steps/s | 12.1 min
ep   370 | step    49034 | reward    18.75 | avg100     1.40 | eps 0.559 | q   -5.06 |   65.3 steps/s | 12.5 min
ep   380 | step    50950 | reward    29.82 | avg100     2.72 | eps 0.541 | q   -5.09 |   65.2 steps/s | 13.0 min
ep   390 | step    52347 | reward    -8.47 | avg100     2.76 | eps 0.529 | q   -5.40 |   65.0 steps/s | 13.4 min
ep   400 | step    54425 | reward    17.12 | avg100     5.18 | eps 0.510 | q   -5.36 |   64.9 steps/s | 14.0 min
ep   410 | step    56423 | reward    -0.62 | avg100     9.42 | eps 0.492 | q   -5.69 |   64.8 steps/s | 14.5 min
ep   420 | step    58069 | reward    12.69 | avg100    10.56 | eps 0.477 | q   -5.58 |   64.6 steps/s | 15.0 min
ep   430 | step    59596 | reward    78.58 | avg100    13.17 | eps 0.464 | q   -4.87 |   64.5 steps/s | 15.4 min
ep   440 | step    61448 | reward    14.24 | avg100    19.07 | eps 0.447 | q   -5.33 |   62.5 steps/s | 16.4 min
ep   450 | step    63419 | reward    -3.10 | avg100    25.46 | eps 0.429 | q   -4.11 |   62.4 steps/s | 16.9 min
ep   460 | step    65593 | reward    21.61 | avg100    33.50 | eps 0.410 | q   -6.05 |   62.3 steps/s | 17.5 min
ep   470 | step    67392 | reward    22.46 | avg100    41.43 | eps 0.393 | q   -6.06 |   62.3 steps/s | 18.0 min
ep   480 | step    69674 | reward    46.06 | avg100    53.96 | eps 0.373 | q   -5.89 |   62.3 steps/s | 18.7 min
ep   490 | step    71652 | reward    53.05 | avg100    62.52 | eps 0.355 | q   -5.51 |   62.1 steps/s | 19.2 min
ep   500 | step    73868 | reward   248.59 | avg100    77.72 | eps 0.335 | q   -4.73 |   62.1 steps/s | 19.8 min
ep   510 | step    75742 | reward    20.89 | avg100    81.57 | eps 0.318 | q   -5.26 |   62.0 steps/s | 20.4 min
ep   520 | step    77619 | reward    71.74 | avg100    87.32 | eps 0.301 | q   -6.52 |   61.9 steps/s | 20.9 min
ep   530 | step    79755 | reward   257.14 | avg100    95.78 | eps 0.282 | q   -3.88 |   61.8 steps/s | 21.5 min
ep   540 | step    81903 | reward    99.76 | avg100   104.78 | eps 0.263 | q   -2.06 |   61.8 steps/s | 22.1 min
ep   550 | step    83978 | reward   128.59 | avg100   115.01 | eps 0.244 | q   -2.07 |   61.7 steps/s | 22.7 min
ep   560 | step    86272 | reward    65.77 | avg100   126.46 | eps 0.224 | q   -2.44 |   60.3 steps/s | 23.8 min
ep   570 | step    88507 | reward    71.82 | avg100   132.28 | eps 0.203 | q    1.74 |   60.3 steps/s | 24.5 min
ep   580 | step    90902 | reward   338.27 | avg100   141.37 | eps 0.182 | q    5.55 |   60.3 steps/s | 25.1 min
ep   590 | step    93365 | reward   338.66 | avg100   162.17 | eps 0.160 | q    7.74 |   60.2 steps/s | 25.9 min
ep   600 | step    95682 | reward   237.33 | avg100   170.60 | eps 0.139 | q    7.33 |   60.1 steps/s | 26.5 min
ep   610 | step    98182 | reward   619.30 | avg100   203.63 | eps 0.116 | q   17.64 |   60.1 steps/s | 27.2 min
ep   620 | step   100580 | reward   256.95 | avg100   238.47 | eps 0.100 | q   19.40 |   59.9 steps/s | 28.0 min
ep   630 | step   103008 | reward   520.57 | avg100   274.55 | eps 0.100 | q   24.93 |   59.9 steps/s | 28.7 min
ep   640 | step   105337 | reward   425.16 | avg100   298.78 | eps 0.100 | q   24.95 |   59.8 steps/s | 29.3 min
ep   650 | step   107674 | reward   103.77 | avg100   324.99 | eps 0.100 | q   34.32 |   59.7 steps/s | 30.0 min
ep   660 | step   110174 | reward   681.02 | avg100   356.23 | eps 0.100 | q   43.31 |   59.7 steps/s | 30.8 min
ep   670 | step   112374 | reward   671.74 | avg100   379.81 | eps 0.100 | q   46.37 |   59.6 steps/s | 31.4 min
ep   680 | step   114700 | reward   144.07 | avg100   403.92 | eps 0.100 | q   42.57 |   59.6 steps/s | 32.1 min
ep   690 | step   117106 | reward   356.38 | avg100   416.62 | eps 0.100 | q   52.74 |   58.7 steps/s | 33.3 min
ep   700 | step   119606 | reward   745.12 | avg100   448.92 | eps 0.100 | q   48.37 |   58.7 steps/s | 34.0 min
ep   710 | step   121939 | reward   834.55 | avg100   454.91 | eps 0.100 | q   56.30 |   58.7 steps/s | 34.6 min
ep   720 | step   124128 | reward   289.14 | avg100   454.03 | eps 0.100 | q   62.24 |   57.8 steps/s | 35.8 min
ep   730 | step   126484 | reward   827.27 | avg100   460.52 | eps 0.100 | q   61.22 |   57.8 steps/s | 36.4 min
ep   740 | step   128741 | reward   257.43 | avg100   464.96 | eps 0.100 | q   81.57 |   57.8 steps/s | 37.1 min
ep   750 | step   130964 | reward   311.24 | avg100   465.38 | eps 0.100 | q   81.03 |   57.1 steps/s | 38.2 min
ep   760 | step   133163 | reward   254.22 | avg100   454.17 | eps 0.100 | q   78.79 |   57.1 steps/s | 38.9 min
ep   770 | step   135569 | reward   556.96 | avg100   474.03 | eps 0.100 | q   84.17 |   57.1 steps/s | 39.5 min
ep   780 | step   137935 | reward   646.59 | avg100   473.14 | eps 0.100 | q   90.19 |   56.5 steps/s | 40.7 min
ep   790 | step   140416 | reward   295.19 | avg100   486.37 | eps 0.100 | q  106.64 |   56.5 steps/s | 41.4 min
ep   800 | step   142754 | reward   293.91 | avg100   485.97 | eps 0.100 | q  104.31 |   55.9 steps/s | 42.6 min
ep   810 | step   145193 | reward   333.67 | avg100   500.80 | eps 0.100 | q  112.69 |   55.9 steps/s | 43.3 min
